n,h_label,estimator,mse_g12,mse_g22,mse_v12,mse_v22
200,Null,LL,4.05648192073033e+29,2.02824514938215e+29,1.97405387154172,3.55822033964188
200,Null,KLR,0.301499369008738,0.297187289200797,0.000152725753857115,0.000145868489684419
200,Alternative,LL,2.02824100622478e+29,2.02824101033121e+29,3.09410869882622,2.1159936210886
200,Alternative,KLR,0.297798536196701,0.298909278357308,0.0439953633835829,0.0434926789275763
400,Null,LL,3853.86561503787,2982.15693052569,0.0160130944956078,0.0166678591395228
400,Null,KLR,0.278403203039615,0.276579648179825,9.49180893468334e-05,9.28340368081985e-05
400,Alternative,LL,4355.08838851622,4443.62923560306,0.0583381014784461,0.059216983506107
400,Alternative,KLR,0.278567654786602,0.277507578467516,0.0440118145695428,0.0436698040126399
800,Null,LL,9.9947641027239,8.60181238359936,0.00415877384118177,0.00414297862880814
800,Null,KLR,0.266476624615641,0.266489672764549,5.52885040619144e-05,5.24122865014506e-05
800,Alternative,LL,9.88801857179515,9.67328393321647,0.0480167056088609,0.0476255618419214
800,Alternative,KLR,0.264246345671971,0.26595070470498,0.0441160207356551,0.0435669670115931
1200,Null,LL,1.98977557089685,2.01135341106846,0.00271682125450354,0.0025975547202409
1200,Null,KLR,0.261110538018888,0.261952596761961,4.20672156552879e-05,4.22768923017896e-05
1200,Alternative,LL,2.08714586653725,1.9612497858451,0.0465186776097301,0.0462199739735004
1200,Alternative,KLR,0.261122967460095,0.261002820907676,0.0440033781563583,0.0435059548592552
1600,Null,LL,1.11992596526112,1.11262124658889,0.00243564671325893,0.00235676328979838
1600,Null,KLR,0.25856365375405,0.26011911251325,3.86162351707287e-05,3.79755316224574e-05
1600,Alternative,LL,1.13522313256516,1.12452015967875,0.0458364674862481,0.0456985390393884
1600,Alternative,KLR,0.259512292401336,0.260634613714101,0.0440094300753325,0.0435745978350095
2000,Null,LL,0.780024894017571,0.800295676092013,0.00131791663897218,0.00131257304788142
2000,Null,KLR,0.258820093245511,0.258893494130359,2.47141991353589e-05,2.44709880997293e-05
2000,Alternative,LL,0.772304304968612,0.756639490457684,0.0457763635831151,0.0459080103818385
2000,Alternative,KLR,0.257483329844274,0.25881871480846,0.0440123586269855,0.0436456830437739
