test_type,test_name,n,block_size,h_label,rejection_rate
DRT,BlockMMD_test,200,7,Null,0.042
DRT,CV_BlockMMD_test,200,7,Null,0.014
DRT,BlockMMD_test,200,7,Alternative,0.084
DRT,CV_BlockMMD_test,200,7,Alternative,0.04
DRT,BlockMMD_test,200,14,Null,0.092
DRT,CV_BlockMMD_test,200,14,Null,0.04
DRT,BlockMMD_test,200,14,Alternative,0.206
DRT,CV_BlockMMD_test,200,14,Alternative,0.104
DRT,BlockMMD_test,200,21,Null,0.122
DRT,CV_BlockMMD_test,200,21,Null,0.08
DRT,BlockMMD_test,200,21,Alternative,0.254
DRT,CV_BlockMMD_test,200,21,Alternative,0.194
DRT,BlockMMD_test,200,28,Null,0.174
DRT,CV_BlockMMD_test,200,28,Null,0.124
DRT,BlockMMD_test,200,28,Alternative,0.342
DRT,CV_BlockMMD_test,200,28,Alternative,0.332
DRT,BlockMMD_test,500,11,Null,0.056
DRT,CV_BlockMMD_test,500,11,Null,0.016
DRT,BlockMMD_test,500,11,Alternative,0.208
DRT,CV_BlockMMD_test,500,11,Alternative,0.116
DRT,BlockMMD_test,500,22,Null,0.044
DRT,CV_BlockMMD_test,500,22,Null,0.032
DRT,BlockMMD_test,500,22,Alternative,0.314
DRT,CV_BlockMMD_test,500,22,Alternative,0.262
DRT,BlockMMD_test,500,33,Null,0.09
DRT,CV_BlockMMD_test,500,33,Null,0.036
DRT,BlockMMD_test,500,33,Alternative,0.384
DRT,CV_BlockMMD_test,500,33,Alternative,0.392
DRT,BlockMMD_test,500,44,Null,0.108
DRT,CV_BlockMMD_test,500,44,Null,0.058
DRT,BlockMMD_test,500,44,Alternative,0.47
DRT,CV_BlockMMD_test,500,44,Alternative,0.46
DRT,BlockMMD_test,1000,15,Null,0.034
DRT,CV_BlockMMD_test,1000,15,Null,0
DRT,BlockMMD_test,1000,15,Alternative,0.366
DRT,CV_BlockMMD_test,1000,15,Alternative,0.332
DRT,BlockMMD_test,1000,31,Null,0.054
DRT,CV_BlockMMD_test,1000,31,Null,0.012
DRT,BlockMMD_test,1000,31,Alternative,0.564
DRT,CV_BlockMMD_test,1000,31,Alternative,0.616
DRT,BlockMMD_test,1000,46,Null,0.07
DRT,CV_BlockMMD_test,1000,46,Null,0.012
DRT,BlockMMD_test,1000,46,Alternative,0.634
DRT,CV_BlockMMD_test,1000,46,Alternative,0.714
DRT,BlockMMD_test,1000,62,Null,0.084
DRT,CV_BlockMMD_test,1000,62,Null,0.024
DRT,BlockMMD_test,1000,62,Alternative,0.752
DRT,CV_BlockMMD_test,1000,62,Alternative,0.856
DRT,BlockMMD_test,2000,22,Null,0.042
DRT,CV_BlockMMD_test,2000,22,Null,0.02
DRT,BlockMMD_test,2000,22,Alternative,0.72
DRT,CV_BlockMMD_test,2000,22,Alternative,0.804
DRT,BlockMMD_test,2000,44,Null,0.058
DRT,CV_BlockMMD_test,2000,44,Null,0.012
DRT,BlockMMD_test,2000,44,Alternative,0.87
DRT,CV_BlockMMD_test,2000,44,Alternative,0.962
DRT,BlockMMD_test,2000,66,Null,0.066
DRT,CV_BlockMMD_test,2000,66,Null,0.022
DRT,BlockMMD_test,2000,66,Alternative,0.936
DRT,CV_BlockMMD_test,2000,66,Alternative,0.994
DRT,BlockMMD_test,2000,88,Null,0.072
DRT,CV_BlockMMD_test,2000,88,Null,0.03
DRT,BlockMMD_test,2000,88,Alternative,0.98
DRT,CV_BlockMMD_test,2000,88,Alternative,0.992
