test_type,test_name,n,h_label,bandwidth_type,rejection_rate
DRT,LinearMMD_test,200,Null,fixed,0.044
DRT,LinearMMD_test,200,Null,median,0.052
DRT,CV_LinearMMD_test,200,Null,fixed,0.0500000000000001
DRT,CV_LinearMMD_test,200,Null,median,0.07
DRT,LinearMMD_test,200,Alternative,fixed,0.124
DRT,LinearMMD_test,200,Alternative,median,0.276
DRT,CV_LinearMMD_test,200,Alternative,fixed,0.2
DRT,CV_LinearMMD_test,200,Alternative,median,0.48
DRT,LinearMMD_test,500,Null,fixed,0.04
DRT,LinearMMD_test,500,Null,median,0.064
DRT,CV_LinearMMD_test,500,Null,fixed,0.046
DRT,CV_LinearMMD_test,500,Null,median,0.062
DRT,LinearMMD_test,500,Alternative,fixed,0.21
DRT,LinearMMD_test,500,Alternative,median,0.57
DRT,CV_LinearMMD_test,500,Alternative,fixed,0.376
DRT,CV_LinearMMD_test,500,Alternative,median,0.806
DRT,LinearMMD_test,1000,Null,fixed,0.06
DRT,LinearMMD_test,1000,Null,median,0.046
DRT,CV_LinearMMD_test,1000,Null,fixed,0.032
DRT,CV_LinearMMD_test,1000,Null,median,0.042
DRT,LinearMMD_test,1000,Alternative,fixed,0.402
DRT,LinearMMD_test,1000,Alternative,median,0.848
DRT,CV_LinearMMD_test,1000,Alternative,fixed,0.614
DRT,CV_LinearMMD_test,1000,Alternative,median,0.986
DRT,LinearMMD_test,2000,Null,fixed,0.0500000000000001
DRT,LinearMMD_test,2000,Null,median,0.0600000000000002
DRT,CV_LinearMMD_test,2000,Null,fixed,0.062
DRT,CV_LinearMMD_test,2000,Null,median,0.064
DRT,LinearMMD_test,2000,Alternative,fixed,0.676
DRT,LinearMMD_test,2000,Alternative,median,0.99
DRT,CV_LinearMMD_test,2000,Alternative,fixed,0.9
DRT,CV_LinearMMD_test,2000,Alternative,median,1
