test_type,test_name,n,h_label,bandwidth,rejection_rate
DRT,LinearMMD_test,200,Null,0.1,0.002
DRT,LinearMMD_test,200,Null,0.5,0.07
DRT,LinearMMD_test,200,Null,1,0.058
DRT,LinearMMD_test,200,Null,median,0.072
DRT,LinearMMD_test,200,Null,5,0.026
DRT,LinearMMD_test,200,Null,10,0.028
DRT,CV_LinearMMD_test,200,Null,0.1,0.032
DRT,CV_LinearMMD_test,200,Null,0.5,0.066
DRT,CV_LinearMMD_test,200,Null,1,0.074
DRT,CV_LinearMMD_test,200,Null,median,0.072
DRT,CV_LinearMMD_test,200,Null,5,0.062
DRT,CV_LinearMMD_test,200,Null,10,0.06
DRT,LinearMMD_test,200,Alternative,0.1,0.002
DRT,LinearMMD_test,200,Alternative,0.5,0.2
DRT,LinearMMD_test,200,Alternative,1,0.29
DRT,LinearMMD_test,200,Alternative,median,0.298
DRT,LinearMMD_test,200,Alternative,5,0.188
DRT,LinearMMD_test,200,Alternative,10,0.114
DRT,CV_LinearMMD_test,200,Alternative,0.1,0.048
DRT,CV_LinearMMD_test,200,Alternative,0.5,0.272
DRT,CV_LinearMMD_test,200,Alternative,1,0.424
DRT,CV_LinearMMD_test,200,Alternative,median,0.454
DRT,CV_LinearMMD_test,200,Alternative,5,0.294
DRT,CV_LinearMMD_test,200,Alternative,10,0.188
DRT,LinearMMD_test,500,Null,0.1,0
DRT,LinearMMD_test,500,Null,0.5,0.054
DRT,LinearMMD_test,500,Null,1,0.05
DRT,LinearMMD_test,500,Null,median,0.046
DRT,LinearMMD_test,500,Null,5,0.036
DRT,LinearMMD_test,500,Null,10,0.042
DRT,CV_LinearMMD_test,500,Null,0.1,0.02
DRT,CV_LinearMMD_test,500,Null,0.5,0.0580000000000001
DRT,CV_LinearMMD_test,500,Null,1,0.0580000000000001
DRT,CV_LinearMMD_test,500,Null,median,0.0680000000000001
DRT,CV_LinearMMD_test,500,Null,5,0.036
DRT,CV_LinearMMD_test,500,Null,10,0.032
DRT,LinearMMD_test,500,Alternative,0.1,0.004
DRT,LinearMMD_test,500,Alternative,0.5,0.32
DRT,LinearMMD_test,500,Alternative,1,0.544
DRT,LinearMMD_test,500,Alternative,median,0.56
DRT,LinearMMD_test,500,Alternative,5,0.358
DRT,LinearMMD_test,500,Alternative,10,0.272
DRT,CV_LinearMMD_test,500,Alternative,0.1,0.044
DRT,CV_LinearMMD_test,500,Alternative,0.5,0.452
DRT,CV_LinearMMD_test,500,Alternative,1,0.596
DRT,CV_LinearMMD_test,500,Alternative,median,0.612
DRT,CV_LinearMMD_test,500,Alternative,5,0.418
DRT,CV_LinearMMD_test,500,Alternative,10,0.362
DRT,LinearMMD_test,1000,Null,0.1,0
DRT,LinearMMD_test,1000,Null,0.5,0.06
DRT,LinearMMD_test,1000,Null,1,0.058
DRT,LinearMMD_test,1000,Null,median,0.052
DRT,LinearMMD_test,1000,Null,5,0.048
DRT,LinearMMD_test,1000,Null,10,0.042
DRT,CV_LinearMMD_test,1000,Null,0.1,0.046
DRT,CV_LinearMMD_test,1000,Null,0.5,0.062
DRT,CV_LinearMMD_test,1000,Null,1,0.064
DRT,CV_LinearMMD_test,1000,Null,median,0.0500000000000001
DRT,CV_LinearMMD_test,1000,Null,5,0.044
DRT,CV_LinearMMD_test,1000,Null,10,0.04
DRT,LinearMMD_test,1000,Alternative,0.1,0.006
DRT,LinearMMD_test,1000,Alternative,0.5,0.496
DRT,LinearMMD_test,1000,Alternative,1,0.654
DRT,LinearMMD_test,1000,Alternative,median,0.652
DRT,LinearMMD_test,1000,Alternative,5,0.474
DRT,LinearMMD_test,1000,Alternative,10,0.41
DRT,CV_LinearMMD_test,1000,Alternative,0.1,0.0879999999999999
DRT,CV_LinearMMD_test,1000,Alternative,0.5,0.618
DRT,CV_LinearMMD_test,1000,Alternative,1,0.65
DRT,CV_LinearMMD_test,1000,Alternative,median,0.652
DRT,CV_LinearMMD_test,1000,Alternative,5,0.502
DRT,CV_LinearMMD_test,1000,Alternative,10,0.484
DRT,LinearMMD_test,2000,Null,0.1,0.002
DRT,LinearMMD_test,2000,Null,0.5,0.048
DRT,LinearMMD_test,2000,Null,1,0.064
DRT,LinearMMD_test,2000,Null,median,0.048
DRT,LinearMMD_test,2000,Null,5,0.054
DRT,LinearMMD_test,2000,Null,10,0.052
DRT,CV_LinearMMD_test,2000,Null,0.1,0.044
DRT,CV_LinearMMD_test,2000,Null,0.5,0.042
DRT,CV_LinearMMD_test,2000,Null,1,0.034
DRT,CV_LinearMMD_test,2000,Null,median,0.048
DRT,CV_LinearMMD_test,2000,Null,5,0.036
DRT,CV_LinearMMD_test,2000,Null,10,0.036
DRT,LinearMMD_test,2000,Alternative,0.1,0.01
DRT,LinearMMD_test,2000,Alternative,0.5,0.59
DRT,LinearMMD_test,2000,Alternative,1,0.622
DRT,LinearMMD_test,2000,Alternative,median,0.628
DRT,LinearMMD_test,2000,Alternative,5,0.426
DRT,LinearMMD_test,2000,Alternative,10,0.408
DRT,CV_LinearMMD_test,2000,Alternative,0.1,0.074
DRT,CV_LinearMMD_test,2000,Alternative,0.5,0.628
DRT,CV_LinearMMD_test,2000,Alternative,1,0.628
DRT,CV_LinearMMD_test,2000,Alternative,median,0.632
DRT,CV_LinearMMD_test,2000,Alternative,5,0.45
DRT,CV_LinearMMD_test,2000,Alternative,10,0.408
