test_name,n,h_label,estimator,bandwidth,rejection_rate
LinearMMD_test,200,Alternative,LL,0.1,0.002
LinearMMD_test,200,Alternative,LL,0.5,0.018
LinearMMD_test,200,Alternative,LL,1,0.04
LinearMMD_test,200,Alternative,LL,median,0.052
LinearMMD_test,200,Alternative,LL,5,0.056
LinearMMD_test,200,Alternative,LL,10,0.054
LinearMMD_test,200,Alternative,KLR,0.1,0.004
LinearMMD_test,200,Alternative,KLR,0.5,0.058
LinearMMD_test,200,Alternative,KLR,1,0.064
LinearMMD_test,200,Alternative,KLR,median,0.058
LinearMMD_test,200,Alternative,KLR,5,0.07
LinearMMD_test,200,Alternative,KLR,10,0.074
CV_LinearMMD_test,200,Alternative,LL,0.1,0.028
CV_LinearMMD_test,200,Alternative,LL,0.5,0.0920000000000001
CV_LinearMMD_test,200,Alternative,LL,1,0.14
CV_LinearMMD_test,200,Alternative,LL,median,0.14
CV_LinearMMD_test,200,Alternative,LL,5,0.172
CV_LinearMMD_test,200,Alternative,LL,10,0.176
CV_LinearMMD_test,200,Alternative,KLR,0.1,0.032
CV_LinearMMD_test,200,Alternative,KLR,0.5,0.066
CV_LinearMMD_test,200,Alternative,KLR,1,0.07
CV_LinearMMD_test,200,Alternative,KLR,median,0.076
CV_LinearMMD_test,200,Alternative,KLR,5,0.0740000000000001
CV_LinearMMD_test,200,Alternative,KLR,10,0.072
LinearMMD_test,200,Null,LL,0.1,0
LinearMMD_test,200,Null,LL,0.5,0.018
LinearMMD_test,200,Null,LL,1,0.04
LinearMMD_test,200,Null,LL,median,0.046
LinearMMD_test,200,Null,LL,5,0.056
LinearMMD_test,200,Null,LL,10,0.054
LinearMMD_test,200,Null,KLR,0.1,0.002
LinearMMD_test,200,Null,KLR,0.5,0.056
LinearMMD_test,200,Null,KLR,1,0.064
LinearMMD_test,200,Null,KLR,median,0.0600000000000001
LinearMMD_test,200,Null,KLR,5,0.068
LinearMMD_test,200,Null,KLR,10,0.072
CV_LinearMMD_test,200,Null,LL,0.1,0.026
CV_LinearMMD_test,200,Null,LL,0.5,0.0939999999999999
CV_LinearMMD_test,200,Null,LL,1,0.136
CV_LinearMMD_test,200,Null,LL,median,0.148
CV_LinearMMD_test,200,Null,LL,5,0.172
CV_LinearMMD_test,200,Null,LL,10,0.176
CV_LinearMMD_test,200,Null,KLR,0.1,0.032
CV_LinearMMD_test,200,Null,KLR,0.5,0.064
CV_LinearMMD_test,200,Null,KLR,1,0.068
CV_LinearMMD_test,200,Null,KLR,median,0.068
CV_LinearMMD_test,200,Null,KLR,5,0.0760000000000001
CV_LinearMMD_test,200,Null,KLR,10,0.07
LinearMMD_test,400,Alternative,LL,0.1,0.00799999999999999
LinearMMD_test,400,Alternative,LL,0.5,0.044
LinearMMD_test,400,Alternative,LL,1,0.046
LinearMMD_test,400,Alternative,LL,median,0.068
LinearMMD_test,400,Alternative,LL,5,0.06
LinearMMD_test,400,Alternative,LL,10,0.064
LinearMMD_test,400,Alternative,KLR,0.1,0.012
LinearMMD_test,400,Alternative,KLR,0.5,0.042
LinearMMD_test,400,Alternative,KLR,1,0.052
LinearMMD_test,400,Alternative,KLR,median,0.086
LinearMMD_test,400,Alternative,KLR,5,0.0600000000000001
LinearMMD_test,400,Alternative,KLR,10,0.064
CV_LinearMMD_test,400,Alternative,LL,0.1,0.048
CV_LinearMMD_test,400,Alternative,LL,0.5,0.07
CV_LinearMMD_test,400,Alternative,LL,1,0.144
CV_LinearMMD_test,400,Alternative,LL,median,0.176
CV_LinearMMD_test,400,Alternative,LL,5,0.216
CV_LinearMMD_test,400,Alternative,LL,10,0.214
CV_LinearMMD_test,400,Alternative,KLR,0.1,0.052
CV_LinearMMD_test,400,Alternative,KLR,0.5,0.054
CV_LinearMMD_test,400,Alternative,KLR,1,0.062
CV_LinearMMD_test,400,Alternative,KLR,median,0.08
CV_LinearMMD_test,400,Alternative,KLR,5,0.0440000000000002
CV_LinearMMD_test,400,Alternative,KLR,10,0.046
LinearMMD_test,400,Null,LL,0.1,0
LinearMMD_test,400,Null,LL,0.5,0.042
LinearMMD_test,400,Null,LL,1,0.044
LinearMMD_test,400,Null,LL,median,0.048
LinearMMD_test,400,Null,LL,5,0.06
LinearMMD_test,400,Null,LL,10,0.064
LinearMMD_test,400,Null,KLR,0.1,0.002
