test_name,n,h_label,estimator,bandwidth_type,rejection_rate
LinearMMD_test,200,Alternative,LL,fixed,0.04
LinearMMD_test,200,Alternative,KLR,fixed,0.064
LinearMMD_test,200,Alternative,LL,median,0.052
LinearMMD_test,200,Alternative,KLR,median,0.058
CV_LinearMMD_test,200,Alternative,LL,fixed,0.14
CV_LinearMMD_test,200,Alternative,KLR,fixed,0.07
CV_LinearMMD_test,200,Alternative,LL,median,0.14
CV_LinearMMD_test,200,Alternative,KLR,median,0.076
LinearMMD_test,200,Null,LL,fixed,0.04
LinearMMD_test,200,Null,KLR,fixed,0.064
LinearMMD_test,200,Null,LL,median,0.046
LinearMMD_test,200,Null,KLR,median,0.0600000000000001
CV_LinearMMD_test,200,Null,LL,fixed,0.136
CV_LinearMMD_test,200,Null,KLR,fixed,0.068
CV_LinearMMD_test,200,Null,LL,median,0.148
CV_LinearMMD_test,200,Null,KLR,median,0.068
LinearMMD_test,400,Alternative,LL,fixed,0.046
LinearMMD_test,400,Alternative,KLR,fixed,0.052
LinearMMD_test,400,Alternative,LL,median,0.068
LinearMMD_test,400,Alternative,KLR,median,0.086
CV_LinearMMD_test,400,Alternative,LL,fixed,0.144
CV_LinearMMD_test,400,Alternative,KLR,fixed,0.062
CV_LinearMMD_test,400,Alternative,LL,median,0.176
CV_LinearMMD_test,400,Alternative,KLR,median,0.08
LinearMMD_test,400,Null,LL,fixed,0.044
LinearMMD_test,400,Null,KLR,fixed,0.052
LinearMMD_test,400,Null,LL,median,0.048
LinearMMD_test,400,Null,KLR,median,0.056
CV_LinearMMD_test,400,Null,LL,fixed,0.136
CV_LinearMMD_test,400,Null,KLR,fixed,0.06
CV_LinearMMD_test,400,Null,LL,median,0.108
CV_LinearMMD_test,400,Null,KLR,median,0.068
LinearMMD_test,800,Alternative,LL,fixed,0.068
LinearMMD_test,800,Alternative,KLR,fixed,0.0600000000000001
LinearMMD_test,800,Alternative,LL,median,0.126
LinearMMD_test,800,Alternative,KLR,median,0.0600000000000001
CV_LinearMMD_test,800,Alternative,LL,fixed,0.1
CV_LinearMMD_test,800,Alternative,KLR,fixed,0.054
CV_LinearMMD_test,800,Alternative,LL,median,0.214
CV_LinearMMD_test,800,Alternative,KLR,median,0.0779999999999999
LinearMMD_test,800,Null,LL,fixed,0.066
LinearMMD_test,800,Null,KLR,fixed,0.0600000000000001
LinearMMD_test,800,Null,LL,median,0.072
LinearMMD_test,800,Null,KLR,median,0.034
CV_LinearMMD_test,800,Null,LL,fixed,0.0959999999999999
CV_LinearMMD_test,800,Null,KLR,fixed,0.0520000000000001
CV_LinearMMD_test,800,Null,LL,median,0.118
CV_LinearMMD_test,800,Null,KLR,median,0.05
LinearMMD_test,1200,Alternative,LL,fixed,0.088
LinearMMD_test,1200,Alternative,KLR,fixed,0.062
LinearMMD_test,1200,Alternative,LL,median,0.138
LinearMMD_test,1200,Alternative,KLR,median,0.104
CV_LinearMMD_test,1200,Alternative,LL,fixed,0.114
CV_LinearMMD_test,1200,Alternative,KLR,fixed,0.064
CV_LinearMMD_test,1200,Alternative,LL,median,0.198
CV_LinearMMD_test,1200,Alternative,KLR,median,0.12
LinearMMD_test,1200,Null,LL,fixed,0.0879999999999999
LinearMMD_test,1200,Null,KLR,fixed,0.058
LinearMMD_test,1200,Null,LL,median,0.0959999999999999
LinearMMD_test,1200,Null,KLR,median,0.064
CV_LinearMMD_test,1200,Null,LL,fixed,0.106
CV_LinearMMD_test,1200,Null,KLR,fixed,0.064
CV_LinearMMD_test,1200,Null,LL,median,0.126
CV_LinearMMD_test,1200,Null,KLR,median,0.062
LinearMMD_test,1600,Alternative,LL,fixed,0.062
LinearMMD_test,1600,Alternative,KLR,fixed,0.056
LinearMMD_test,1600,Alternative,LL,median,0.126
LinearMMD_test,1600,Alternative,KLR,median,0.086
CV_LinearMMD_test,1600,Alternative,LL,fixed,0.07
CV_LinearMMD_test,1600,Alternative,KLR,fixed,0.052
CV_LinearMMD_test,1600,Alternative,LL,median,0.21
CV_LinearMMD_test,1600,Alternative,KLR,median,0.106
LinearMMD_test,1600,Null,LL,fixed,0.05
LinearMMD_test,1600,Null,KLR,fixed,0.046
LinearMMD_test,1600,Null,LL,median,0.06
LinearMMD_test,1600,Null,KLR,median,0.05
CV_LinearMMD_test,1600,Null,LL,fixed,0.07
CV_LinearMMD_test,1600,Null,KLR,fixed,0.054
CV_LinearMMD_test,1600,Null,LL,median,0.0979999999999999
CV_LinearMMD_test,1600,Null,KLR,median,0.0760000000000001
LinearMMD_test,2000,Alternative,LL,fixed,0.0580000000000001
LinearMMD_test,2000,Alternative,KLR,fixed,0.066
LinearMMD_test,2000,Alternative,LL,median,0.122
LinearMMD_test,2000,Alternative,KLR,median,0.076
CV_LinearMMD_test,2000,Alternative,LL,fixed,0.0859999999999999
CV_LinearMMD_test,2000,Alternative,KLR,fixed,0.058
CV_LinearMMD_test,2000,Alternative,LL,median,0.178
CV_LinearMMD_test,2000,Alternative,KLR,median,0.116
LinearMMD_test,2000,Null,LL,fixed,0.0580000000000001
LinearMMD_test,2000,Null,KLR,fixed,0.058
LinearMMD_test,2000,Null,LL,median,0.06
LinearMMD_test,2000,Null,KLR,median,0.058
CV_LinearMMD_test,2000,Null,LL,fixed,0.086
CV_LinearMMD_test,2000,Null,KLR,fixed,0.058
CV_LinearMMD_test,2000,Null,LL,median,0.094
CV_LinearMMD_test,2000,Null,KLR,median,0.06
