test_type,test_name,n,h_label,estimator,rejection_rate,avg_time_sec
CIT,RCIT_test,200,Null,lm,0.23,0.04099928855896
CIT,RCIT_test,200,Null,ranger,0.23,0.0408680987358093
CIT,GCM_test,200,Null,lm,0.1,0.0132526707649231
CIT,GCM_test,200,Null,ranger,0.07,0.0420756602287293
CIT,WGSC_test,200,Null,lm,0.33,0.129973917007446
CIT,WGSC_test,200,Null,ranger,0.01,0.42033629655838
CIT,PCM_test,200,Null,lm,0.04,0.0308213472366333
CIT,PCM_test,200,Null,ranger,0.05,0.0837279033660889
CIT,RCIT_test,400,Null,lm,0.1,0.0720497679710388
CIT,RCIT_test,400,Null,ranger,0.1,0.0746954774856567
CIT,GCM_test,400,Null,lm,0.06,0.0205166363716126
CIT,GCM_test,400,Null,ranger,0.05,0.0695727252960205
CIT,WGSC_test,400,Null,lm,0.23,0.198033890724182
CIT,WGSC_test,400,Null,ranger,0,0.662468712329865
CIT,PCM_test,400,Null,lm,0.05,0.0318628454208374
CIT,PCM_test,400,Null,ranger,0.07,0.118195753097534
CIT,RCIT_test,800,Null,lm,0.06,0.105675871372223
CIT,RCIT_test,800,Null,ranger,0.06,0.101332440376282
CIT,GCM_test,800,Null,lm,0.1,0.0370709538459778
CIT,GCM_test,800,Null,ranger,0.08,0.145295317173004
CIT,WGSC_test,800,Null,lm,0.12,0.395850594043732
CIT,WGSC_test,800,Null,ranger,0,1.31947311639786
CIT,PCM_test,800,Null,lm,0.04,0.0512622833251953
CIT,PCM_test,800,Null,ranger,0.03,0.196797497272491
CIT,RCIT_test,1200,Null,lm,0.07,0.116906969547272
CIT,RCIT_test,1200,Null,ranger,0.07,0.115053291320801
CIT,GCM_test,1200,Null,lm,0.11,0.0581389284133911
CIT,GCM_test,1200,Null,ranger,0.1,0.228225531578064
CIT,WGSC_test,1200,Null,lm,0.08,0.648897264003754
CIT,WGSC_test,1200,Null,ranger,0,2.06387187719345
CIT,PCM_test,1200,Null,lm,0.06,0.075011215209961
CIT,PCM_test,1200,Null,ranger,0,0.315572979450226
CIT,RCIT_test,1600,Null,lm,0.07,0.163698124885559
CIT,RCIT_test,1600,Null,ranger,0.07,0.150318341255188
CIT,GCM_test,1600,Null,lm,0.15,0.0887601351737976
CIT,GCM_test,1600,Null,ranger,0.12,0.347244882583618
CIT,WGSC_test,1600,Null,lm,0.11,0.836970584392548
CIT,WGSC_test,1600,Null,ranger,0,2.74803259134293
CIT,PCM_test,1600,Null,lm,0.04,0.0848194408416748
CIT,PCM_test,1600,Null,ranger,0,0.360045101642609
CIT,RCIT_test,2000,Null,lm,0.06,0.159108166694641
CIT,RCIT_test,2000,Null,ranger,0.06,0.159975426197052
CIT,GCM_test,2000,Null,lm,0.13,0.0919232773780823
CIT,GCM_test,2000,Null,ranger,0.18,0.40571722984314
CIT,WGSC_test,2000,Null,lm,0.13,1.03488956689835
CIT,WGSC_test,2000,Null,ranger,0,3.51477470159531
CIT,PCM_test,2000,Null,lm,0.07,0.124920556545258
CIT,PCM_test,2000,Null,ranger,0,0.520439043045044
