"test_name_clean","avg_time","Power","Type_I_Error"
"LinearMMD",0.0162700000000405,0.06,NA
"LinearMMD",0.0167759999999507,NA,0.0660000000000001
"CLF",0.0211139999999505,0.068,NA
"CLF",0.0218080000000446,NA,0.00799999999999999
"CV-LinearMMD",0.0331579999999849,NA,0.06
"CV-LinearMMD",0.0332419999999183,0.06,NA
"CP",0.0351480000000884,0.688,NA
"CP",0.0352219999999834,NA,0.03
"CV-CLF",0.042586000000003,0.158,NA
"CV-CLF",0.0431620000000075,NA,0.01
"RCIT",0.0661719999999041,0.61,NA
"RCIT",0.067955999999991,NA,0.048
"BlockMMD",0.146176000000043,0.024,NA
"BlockMMD",0.146306000000048,NA,0.016
"CV-BlockMMD",0.298776000000013,0.012,NA
"CV-BlockMMD",0.299176000000058,NA,0.01
"GCM",0.853511999999944,0.714,NA
"GCM",0.86652200000007,NA,0.046
"PCM",0.92711400000003,0.126,NA
"PCM",0.938170000000013,NA,0.00799999999999999
"debiased",3.42354599999993,0.674,NA
"debiased",3.47878,NA,0.06
"WGSC",6.1333519999999,0.03,NA
"WGSC",6.32297399999989,NA,0.026
"bootstrap-MMD",13.71427,0.118,NA
"bootstrap-MMD",13.7953239999999,NA,0.072
