test_type,test_name,n,h_label,rejection_rate,avg_time_sec
DRT,LinearMMD_test,200,Null,0.052,0.00391
DRT,CV_LinearMMD_test,200,Null,0.118,0.00696200000000001
DRT,CLF_test,200,Null,0.002,0.00576199999999997
DRT,CV_CLF_test,200,Null,0.00799999999999999,0.01155
DRT,CP_test,200,Null,0.01,0.00466000000000003
DRT,debiased_test,200,Null,0.014,0.052436
DRT,BlockMMD_test,200,Null,0.114,0.00746799999999992
DRT,CV_BlockMMD_test,200,Null,0.032,0.01497
DRT,bootstrap_MMD_test,200,Null,0.138,0.14979
CIT,RCIT_test,200,Null,0.166,0.0114339999999993
CIT,PCM_test,200,Null,0.11,0.0541979999999997
CIT,GCM_test,200,Null,0.044,0.0402140000000001
CIT,WGSC_test,200,Null,0.048,0.522794
DRT,LinearMMD_test,200,Alternative,0.056,0.00339800000000093
DRT,CV_LinearMMD_test,200,Alternative,0.114,0.00689199999999926
DRT,CLF_test,200,Alternative,0.006,0.00572600000000034
DRT,CV_CLF_test,200,Alternative,0.014,0.0114420000000005
DRT,CP_test,200,Alternative,0.074,0.00474800000000016
DRT,debiased_test,200,Alternative,0.092,0.0529319999999996
DRT,BlockMMD_test,200,Alternative,0.12,0.00727399999999977
DRT,CV_BlockMMD_test,200,Alternative,0.036,0.0148839999999999
DRT,bootstrap_MMD_test,200,Alternative,0.158,0.149605999999999
CIT,RCIT_test,200,Alternative,0.24,0.0110440000000008
CIT,PCM_test,200,Alternative,0.146,0.0544999999999986
CIT,GCM_test,200,Alternative,0.148,0.0407239999999999
CIT,WGSC_test,200,Alternative,0.054,0.520546000000001
DRT,LinearMMD_test,500,Null,0.106,0.00565000000000191
DRT,CV_LinearMMD_test,500,Null,0.112,0.0110120000000034
DRT,CLF_test,500,Null,0.004,0.0082320000000027
DRT,CV_CLF_test,500,Null,0.00799999999999999,0.0163019999999995
DRT,CP_test,500,Null,0.0380000000000001,0.00816999999999621
DRT,debiased_test,500,Null,0.032,0.199901999999999
DRT,BlockMMD_test,500,Null,0.072,0.0200039999999992
DRT,CV_BlockMMD_test,500,Null,0.026,0.0407719999999986
DRT,bootstrap_MMD_test,500,Null,0.104,0.896844000000001
CIT,RCIT_test,500,Null,0.056,0.0246559999999959
CIT,PCM_test,500,Null,0.034,0.160705999999998
CIT,GCM_test,500,Null,0.03,0.134421999999999
CIT,WGSC_test,500,Null,0.032,1.576618
DRT,LinearMMD_test,500,Alternative,0.0959999999999999,0.00581999999998698
DRT,CV_LinearMMD_test,500,Alternative,0.114,0.0111699999999992
DRT,CLF_test,500,Alternative,0.016,0.00840400000000318
DRT,CV_CLF_test,500,Alternative,0.0380000000000001,0.016706000000001
DRT,CP_test,500,Alternative,0.234,0.00822400000000198
DRT,debiased_test,500,Alternative,0.296,0.19997200000001
DRT,BlockMMD_test,500,Alternative,0.07,0.0202519999999904
DRT,CV_BlockMMD_test,500,Alternative,0.026,0.0409339999999993
DRT,bootstrap_MMD_test,500,Alternative,0.114,0.903633999999999
CIT,RCIT_test,500,Alternative,0.228,0.024778000000003
CIT,PCM_test,500,Alternative,0.1,0.162106000000006
CIT,GCM_test,500,Alternative,0.306,0.134162000000001
CIT,WGSC_test,500,Alternative,0.048,1.57712399999999
DRT,LinearMMD_test,1000,Null,0.076,0.00958199999998851
DRT,CV_LinearMMD_test,1000,Null,0.0980000000000001,0.018733999999994
DRT,CLF_test,1000,Null,0.002,0.013002000000005
DRT,CV_CLF_test,1000,Null,0.004,0.025563999999993
DRT,CP_test,1000,Null,0.03,0.0158819999999796
DRT,debiased_test,1000,Null,0.046,0.80254400000002
DRT,BlockMMD_test,1000,Null,0.028,0.053491999999982
DRT,CV_BlockMMD_test,1000,Null,0.01,0.110009999999973
DRT,bootstrap_MMD_test,1000,Null,0.098,5.66222799999999
CIT,RCIT_test,1000,Null,0.064,0.0373959999999825
CIT,PCM_test,1000,Null,0.016,0.379890000000007
CIT,GCM_test,1000,Null,0.05,0.335339999999946
CIT,WGSC_test,1000,Null,0.0660000000000001,3.20348000000002
DRT,LinearMMD_test,1000,Alternative,0.072,0.00921000000002823
DRT,CV_LinearMMD_test,1000,Alternative,0.1,0.018100000000024
DRT,CLF_test,1000,Alternative,0.028,0.0123120000000126
DRT,CV_CLF_test,1000,Alternative,0.072,0.024995999999981
DRT,CP_test,1000,Alternative,0.416,0.0155120000000388
DRT,debiased_test,1000,Alternative,0.514,0.78299399999997
DRT,BlockMMD_test,1000,Alternative,0.038,0.053510000000002
DRT,CV_BlockMMD_test,1000,Alternative,0.018,0.107946000000007
DRT,bootstrap_MMD_test,1000,Alternative,0.12,3.44344199999997
CIT,RCIT_test,1000,Alternative,0.394,0.0366859999999979
CIT,PCM_test,1000,Alternative,0.124,0.378699999999979
CIT,GCM_test,1000,Alternative,0.466,0.334295999999998
CIT,WGSC_test,1000,Alternative,0.06,3.20137199999999
DRT,LinearMMD_test,2000,Null,0.0660000000000001,0.0167759999999507
DRT,CV_LinearMMD_test,2000,Null,0.06,0.0331579999999849
DRT,CLF_test,2000,Null,0.00799999999999999,0.0218080000000446
DRT,CV_CLF_test,2000,Null,0.01,0.0431620000000075
DRT,CP_test,2000,Null,0.03,0.0352219999999834
DRT,debiased_test,2000,Null,0.06,3.47878
DRT,BlockMMD_test,2000,Null,0.016,0.146306000000048
DRT,CV_BlockMMD_test,2000,Null,0.01,0.299176000000058
DRT,bootstrap_MMD_test,2000,Null,0.072,13.7953239999999
CIT,RCIT_test,2000,Null,0.048,0.067955999999991
CIT,PCM_test,2000,Null,0.00799999999999999,0.938170000000013
CIT,GCM_test,2000,Null,0.046,0.86652200000007
CIT,WGSC_test,2000,Null,0.026,6.32297399999989
DRT,LinearMMD_test,2000,Alternative,0.06,0.0162700000000405
DRT,CV_LinearMMD_test,2000,Alternative,0.06,0.0332419999999183
DRT,CLF_test,2000,Alternative,0.068,0.0211139999999505
DRT,CV_CLF_test,2000,Alternative,0.158,0.042586000000003
DRT,CP_test,2000,Alternative,0.688,0.0351480000000884
DRT,debiased_test,2000,Alternative,0.674,3.42354599999993
DRT,BlockMMD_test,2000,Alternative,0.024,0.146176000000043
DRT,CV_BlockMMD_test,2000,Alternative,0.012,0.298776000000013
DRT,bootstrap_MMD_test,2000,Alternative,0.118,13.71427
CIT,RCIT_test,2000,Alternative,0.61,0.0661719999999041
CIT,PCM_test,2000,Alternative,0.126,0.92711400000003
CIT,GCM_test,2000,Alternative,0.714,0.853511999999944
CIT,WGSC_test,2000,Alternative,0.03,6.1333519999999
