test_type,test_name,n,h_label,estimator,rejection_rate,avg_time_sec
DRT,LinearMMD_test,200,Null,LL,0.01,0.0297816324234009
DRT,LinearMMD_test,200,Null,KLR,0.08,0.0428313326835632
DRT,CLF_test,200,Null,LL,0.75,0.0668484020233154
DRT,CLF_test,200,Null,KLR,0.08,0.0610490989685059
DRT,CP_test,200,Null,LL,0,0.0348484969139099
DRT,CP_test,200,Null,KLR,0.07,0.0461993646621704
DRT,CV_LinearMMD_test,200,Null,LL,0.11,0.0634323596954346
DRT,CV_LinearMMD_test,200,Null,KLR,0.07,0.0792210698127747
DRT,CV_CLF_test,200,Null,LL,0.91,0.12472989320755
DRT,CV_CLF_test,200,Null,KLR,0.08,0.116627399921417
DRT,debiased_test,200,Null,LL,0.13,0.2450940990448
DRT,debiased_test,200,Null,KLR,0.04,0.214275381565094
CIT,RCIT_test,200,Null,lm,0.23,0.0448253607749939
CIT,RCIT_test,200,Null,ranger,0.23,0.0491780734062195
CIT,GCM_test,200,Null,lm,0.1,0.0152330565452576
CIT,GCM_test,200,Null,ranger,0.07,0.041769859790802
CIT,WGSC_test,200,Null,lm,0.33,0.134786431789398
CIT,WGSC_test,200,Null,ranger,0.01,0.431224408149719
CIT,PCM_test,200,Null,lm,0.04,0.0298096179962158
CIT,PCM_test,200,Null,ranger,0.05,0.0942949748039246
DRT,LinearMMD_test,400,Null,LL,0.04,0.0374025893211365
DRT,LinearMMD_test,400,Null,KLR,0.08,0.138775291442871
DRT,CLF_test,400,Null,LL,0.14,0.0684000086784363
DRT,CLF_test,400,Null,KLR,0.05,0.209422051906586
DRT,CP_test,400,Null,LL,0.12,0.0472167944908142
DRT,CP_test,400,Null,KLR,0.07,0.161954019069672
DRT,CV_LinearMMD_test,400,Null,LL,0.15,0.0706577849388123
DRT,CV_LinearMMD_test,400,Null,KLR,0.07,0.27513064622879
DRT,CV_CLF_test,400,Null,LL,0.62,0.116305208206177
DRT,CV_CLF_test,400,Null,KLR,0.06,0.334518713951111
DRT,debiased_test,400,Null,LL,0.06,0.386517474651337
DRT,debiased_test,400,Null,KLR,0.04,0.490977866649628
CIT,RCIT_test,400,Null,lm,0.1,0.0870129776000977
CIT,RCIT_test,400,Null,ranger,0.1,0.0886635851860046
CIT,GCM_test,400,Null,lm,0.06,0.0221711683273315
CIT,GCM_test,400,Null,ranger,0.05,0.0890795373916626
CIT,WGSC_test,400,Null,lm,0.23,0.227857213020325
CIT,WGSC_test,400,Null,ranger,0,0.766245646476746
CIT,PCM_test,400,Null,lm,0.05,0.0394746899604797
CIT,PCM_test,400,Null,ranger,0.07,0.139581966400146
DRT,LinearMMD_test,800,Null,LL,0.03,0.0527717351913452
DRT,LinearMMD_test,800,Null,KLR,0.04,0.660985171794891
DRT,CLF_test,800,Null,LL,0.27,0.0890222191810608
DRT,CLF_test,800,Null,KLR,0.01,0.799177985191345
DRT,CP_test,800,Null,LL,0.15,0.0653611779212952
DRT,CP_test,800,Null,KLR,0.09,0.669766631126404
DRT,CV_LinearMMD_test,800,Null,LL,0.06,0.111080322265625
DRT,CV_LinearMMD_test,800,Null,KLR,0.03,1.18615913152695
DRT,CV_CLF_test,800,Null,LL,0.65,0.158512423038483
DRT,CV_CLF_test,800,Null,KLR,0.07,1.41401316165924
DRT,debiased_test,800,Null,LL,0.03,0.868015966415405
DRT,debiased_test,800,Null,KLR,0.03,1.88367710590363
CIT,RCIT_test,800,Null,lm,0.06,0.109238805770874
CIT,RCIT_test,800,Null,ranger,0.06,0.1093576836586
CIT,GCM_test,800,Null,lm,0.1,0.0412072229385376
CIT,GCM_test,800,Null,ranger,0.08,0.176144635677338
CIT,WGSC_test,800,Null,lm,0.12,0.368600430488586
CIT,WGSC_test,800,Null,ranger,0,1.23367115259171
CIT,PCM_test,800,Null,lm,0.04,0.0417199397087097
CIT,PCM_test,800,Null,ranger,0.03,0.174021401405334
DRT,LinearMMD_test,1200,Null,LL,0.07,0.059198534488678
DRT,LinearMMD_test,1200,Null,KLR,0.05,1.33663966178894
DRT,CLF_test,1200,Null,LL,0.34,0.0923000741004944
