test_type,test_name,n,h_label,estimator,rejection_rate,avg_time_sec
DRT,LinearMMD_test,200,Null,LL,0.048,0.00490000000000042
DRT,LinearMMD_test,200,Null,KLR,0.044,0.0282800000000025
DRT,CLF_test,200,Null,LL,0.062,0.00672000000000071
DRT,CLF_test,200,Null,KLR,0.062,0.0434799999999941
DRT,CP_test,200,Null,LL,0.076,0.0100999999999985
DRT,CP_test,200,Null,KLR,0.052,0.043600000000004
DRT,CV_LinearMMD_test,200,Null,LL,0.052,0.0130200000000095
DRT,CV_LinearMMD_test,200,Null,KLR,0.046,0.0787400000000071
DRT,CV_CLF_test,200,Null,LL,0.088,0.0187999999999902
DRT,CV_CLF_test,200,Null,KLR,0.058,0.104260000000008
DRT,debiased_test,200,Null,LL,0.034,0.0702600000000166
DRT,debiased_test,200,Null,KLR,0.02,0.13072000000001
CIT,RCIT_test,200,Null,,0.09,0.0170800000000236
CIT,GCM_test,200,Null,,0.038,0.0263399999999456
CIT,WGSC_test,200,Null,,0.024,6.32420000000003
CIT,PCM_test,200,Null,,0.054,0.0620800000000199
DRT,LinearMMD_test,400,Null,LL,0.054,0.00775999999998021
DRT,LinearMMD_test,400,Null,KLR,0.046,0.115920000000024
DRT,CLF_test,400,Null,LL,0.052,0.0095599999999904
DRT,CLF_test,400,Null,KLR,0.046,0.154799999999937
DRT,CP_test,400,Null,LL,0.084,0.0112800000000498
DRT,CP_test,400,Null,KLR,0.058,0.12752000000007
DRT,CV_LinearMMD_test,400,Null,LL,0.06,0.014300000000032
DRT,CV_LinearMMD_test,400,Null,KLR,0.058,0.215360000000052
DRT,CV_CLF_test,400,Null,LL,0.084,0.017199999999968
DRT,CV_CLF_test,400,Null,KLR,0.052,0.262759999999973
DRT,debiased_test,400,Null,LL,0.056,0.161080000000038
DRT,debiased_test,400,Null,KLR,0.038,0.308280000000021
CIT,RCIT_test,400,Null,,0.076,0.0253399999999892
CIT,GCM_test,400,Null,,0.05,0.0313199999999779
CIT,WGSC_test,400,Null,,0.006,5.86745999999988
CIT,PCM_test,400,Null,,0.052,0.064799999999952
DRT,LinearMMD_test,800,Null,LL,0.036,0.008879999999961
DRT,LinearMMD_test,800,Null,KLR,0.032,0.455540000000008
DRT,CLF_test,800,Null,LL,0.064,0.0114199999999983
DRT,CLF_test,800,Null,KLR,0.058,0.623180000000029
DRT,CP_test,800,Null,LL,0.078,0.0156199999999735
DRT,CP_test,800,Null,KLR,0.056,0.458859999999971
DRT,CV_LinearMMD_test,800,Null,LL,0.044,0.0174599999999191
DRT,CV_LinearMMD_test,800,Null,KLR,0.042,0.899420000000246
DRT,CV_CLF_test,800,Null,LL,0.092,0.0224600000001665
DRT,CV_CLF_test,800,Null,KLR,0.066,1.24688000000008
DRT,debiased_test,800,Null,LL,0.048,0.569520000000019
DRT,debiased_test,800,Null,KLR,0.024,1.25473999999989
CIT,RCIT_test,800,Null,,0.06,0.0385200000001205
CIT,GCM_test,800,Null,,0.072,0.0462400000000198
CIT,WGSC_test,800,Null,,0.002,6.31609999999996
CIT,PCM_test,800,Null,,0.058,0.0845199999999168
DRT,LinearMMD_test,1200,Null,LL,0.058,0.0117000000000407
DRT,LinearMMD_test,1200,Null,KLR,0.052,1.24851999999992
DRT,CLF_test,1200,Null,LL,0.066,0.0141399999999558
DRT,CLF_test,1200,Null,KLR,0.048,1.73823999999993
DRT,CP_test,1200,Null,LL,0.096,0.0223399999999674
DRT,CP_test,1200,Null,KLR,0.062,1.24143999999999
DRT,CV_LinearMMD_test,1200,Null,LL,0.062,0.0232599999999075
DRT,CV_LinearMMD_test,1200,Null,KLR,0.062,2.48989999999978
DRT,CV_CLF_test,1200,Null,LL,0.074,0.0276799999998329
DRT,CV_CLF_test,1200,Null,KLR,0.052,3.49648000000004
DRT,debiased_test,1200,Null,LL,0.04,1.41922000000003
DRT,debiased_test,1200,Null,KLR,0.018,3.09993999999997
CIT,RCIT_test,1200,Null,,0.052,0.0515799999998708
CIT,GCM_test,1200,Null,,0.058,0.0625600000000559
CIT,WGSC_test,1200,Null,,0,6.50673999999961
CIT,PCM_test,1200,Null,,0.042,0.105700000000099
DRT,LinearMMD_test,1600,Null,LL,0.042,0.0146799999998475
DRT,LinearMMD_test,1600,Null,KLR,0.046,2.66165999999989
DRT,CLF_test,1600,Null,LL,0.064,0.0170600000000559
DRT,CLF_test,1600,Null,KLR,0.046,3.74851999999999
DRT,CP_test,1600,Null,LL,0.1,0.0311599999999162
DRT,CP_test,1600,Null,KLR,0.046,2.65387999999966
DRT,CV_LinearMMD_test,1600,Null,LL,0.052,0.0291000000000349
DRT,CV_LinearMMD_test,1600,Null,KLR,0.042,5.46338000000038
DRT,CV_CLF_test,1600,Null,LL,0.078,0.0361400000001013
DRT,CV_CLF_test,1600,Null,KLR,0.052,8.39458000000002
DRT,debiased_test,1600,Null,LL,0.034,2.61693999999994
DRT,debiased_test,1600,Null,KLR,0.022,7.16217999999993
CIT,RCIT_test,1600,Null,,0.068,0.0752799999999988
CIT,GCM_test,1600,Null,,0.078,0.109199999999779
CIT,WGSC_test,1600,Null,,0,7.30044
CIT,PCM_test,1600,Null,,0.062,0.132239999999583
DRT,LinearMMD_test,2000,Null,LL,0.044,0.0178599999999278
DRT,LinearMMD_test,2000,Null,KLR,0.06,4.93005999999985
DRT,CLF_test,2000,Null,LL,0.058,0.0214999999999127
DRT,CLF_test,2000,Null,KLR,0.054,7.05877999999971
DRT,CP_test,2000,Null,LL,0.102,0.0431399999996356
DRT,CP_test,2000,Null,KLR,0.048,5.01429999999947
