test_type,test_name,n,h_label,estimator,rejection_rate,avg_time_sec
DRT,LinearMMD_test,200,Null,LL,0.01,0.0298726868629456
DRT,LinearMMD_test,200,Null,KLR,0.08,0.0248836183547974
DRT,CLF_test,200,Null,LL,0.77,0.0626927900314331
DRT,CLF_test,200,Null,KLR,0.08,0.038093695640564
DRT,CP_test,200,Null,LL,0,0.0300911641120911
DRT,CP_test,200,Null,KLR,0.07,0.0236663675308228
DRT,CV_LinearMMD_test,200,Null,LL,0.11,0.0585797452926636
DRT,CV_LinearMMD_test,200,Null,KLR,0.07,0.050268292427063
DRT,CV_CLF_test,200,Null,LL,0.93,0.127828238010407
DRT,CV_CLF_test,200,Null,KLR,0.08,0.0752087998390198
DRT,debiased_test,200,Null,LL,0.14,0.193590874671936
DRT,debiased_test,200,Null,KLR,0.07,0.143640348911285
CIT,RCIT_test,200,Null,lm,0.23,0.02220538854599
CIT,RCIT_test,200,Null,ranger,0.23,0.0223337125778198
CIT,GCM_test,200,Null,lm,0.1,0.015087571144104
CIT,GCM_test,200,Null,ranger,0.1,0.0870783472061157
CIT,WGSC_test,200,Null,lm,0.33,0.147226779460907
CIT,WGSC_test,200,Null,ranger,0.01,0.728761785030365
CIT,PCM_test,200,Null,lm,0.12,0.034701931476593
CIT,PCM_test,200,Null,ranger,0.04,0.104200637340546
DRT,LinearMMD_test,400,Null,LL,0.04,0.0361665034294128
DRT,LinearMMD_test,400,Null,KLR,0.08,0.0919452118873596
DRT,CLF_test,400,Null,LL,0.14,0.0628706026077271
DRT,CLF_test,400,Null,KLR,0.05,0.134198565483093
DRT,CP_test,400,Null,LL,0.12,0.0371711754798889
DRT,CP_test,400,Null,KLR,0.07,0.0930433130264282
DRT,CV_LinearMMD_test,400,Null,LL,0.15,0.0707132577896118
DRT,CV_LinearMMD_test,400,Null,KLR,0.07,0.177984473705292
DRT,CV_CLF_test,400,Null,LL,0.62,0.125968098640442
DRT,CV_CLF_test,400,Null,KLR,0.06,0.252372448444366
DRT,debiased_test,400,Null,LL,0.06,0.290111131668091
DRT,debiased_test,400,Null,KLR,0.04,0.310719347000122
CIT,RCIT_test,400,Null,lm,0.1,0.0412136340141296
CIT,RCIT_test,400,Null,ranger,0.1,0.0411804533004761
CIT,GCM_test,400,Null,lm,0.06,0.0250944590568543
CIT,GCM_test,400,Null,ranger,0.04,0.220235221385956
CIT,WGSC_test,400,Null,lm,0.23,0.233923909664154
CIT,WGSC_test,400,Null,ranger,0,1.8011255812645
CIT,PCM_test,400,Null,lm,0.08,0.0344495487213135
CIT,PCM_test,400,Null,ranger,0.01,0.244954752922058
DRT,LinearMMD_test,800,Null,LL,0.03,0.0540061450004578
DRT,LinearMMD_test,800,Null,KLR,0.04,0.436472635269165
DRT,CLF_test,800,Null,LL,0.27,0.088534951210022
DRT,CLF_test,800,Null,KLR,0.01,0.615807800292969
DRT,CP_test,800,Null,LL,0.15,0.0546558976173401
DRT,CP_test,800,Null,KLR,0.09,0.422668042182922
DRT,CV_LinearMMD_test,800,Null,LL,0.06,0.102126898765564
DRT,CV_LinearMMD_test,800,Null,KLR,0.03,0.829870331287384
DRT,CV_CLF_test,800,Null,LL,0.65,0.177806265354157
DRT,CV_CLF_test,800,Null,KLR,0.07,1.20572430610657
DRT,debiased_test,800,Null,LL,0.03,0.695930247306824
DRT,debiased_test,800,Null,KLR,0.03,1.1701855301857
CIT,RCIT_test,800,Null,lm,0.06,0.0534677076339722
CIT,RCIT_test,800,Null,ranger,0.06,0.0556830954551697
CIT,GCM_test,800,Null,lm,0.1,0.0453453946113586
CIT,GCM_test,800,Null,ranger,0.11,0.581607265472412
CIT,WGSC_test,800,Null,lm,0.12,0.418980424404144
CIT,WGSC_test,800,Null,ranger,0,4.78439765691757
CIT,PCM_test,800,Null,lm,0.03,0.0584728956222534
CIT,PCM_test,800,Null,ranger,0.03,0.62815806388855
DRT,LinearMMD_test,1200,Null,LL,0.07,0.0714203977584839
DRT,LinearMMD_test,1200,Null,KLR,0.05,1.17001762628555
DRT,CLF_test,1200,Null,LL,0.34,0.117661612033844
DRT,CLF_test,1200,Null,KLR,0.05,1.68192989587784
DRT,CP_test,1200,Null,LL,0.06,0.0758277845382691
DRT,CP_test,1200,Null,KLR,0.09,1.16524216890335
DRT,CV_LinearMMD_test,1200,Null,LL,0.08,0.141953873634338
DRT,CV_LinearMMD_test,1200,Null,KLR,0.06,2.32808394670486
DRT,CV_CLF_test,1200,Null,LL,0.64,0.233729269504547
DRT,CV_CLF_test,1200,Null,KLR,0.04,3.40470469474792
DRT,debiased_test,1200,Null,LL,0.06,1.53042294979095
DRT,debiased_test,1200,Null,KLR,0.08,2.92643474340439
CIT,RCIT_test,1200,Null,lm,0.07,0.0672060394287109
CIT,RCIT_test,1200,Null,ranger,0.07,0.0705210781097412
CIT,GCM_test,1200,Null,lm,0.11,0.0662767195701599
CIT,GCM_test,1200,Null,ranger,0.19,1.01642010450363
CIT,WGSC_test,1200,Null,lm,0.08,0.633373789787293
CIT,WGSC_test,1200,Null,ranger,0,8.50460009813309
CIT,PCM_test,1200,Null,lm,0.05,0.0832502341270447
CIT,PCM_test,1200,Null,ranger,0,4.06105307135919
DRT,LinearMMD_test,1600,Null,LL,0.11,0.090511257648468
DRT,LinearMMD_test,1600,Null,KLR,0.09,17.7828524851799
DRT,CLF_test,1600,Null,LL,0.49,0.146833474636078
DRT,CLF_test,1600,Null,KLR,0.08,3.60715599536896
DRT,CP_test,1600,Null,LL,0.16,0.0964359951019287
DRT,CP_test,1600,Null,KLR,0.13,2.4613859128952
DRT,CV_LinearMMD_test,1600,Null,LL,0.09,0.176749172210693
DRT,CV_LinearMMD_test,1600,Null,KLR,0.08,4.90377455234528
DRT,CV_CLF_test,1600,Null,LL,0.67,0.288719112873077
DRT,CV_CLF_test,1600,Null,KLR,0.11,7.10214955806732
DRT,debiased_test,1600,Null,LL,0.05,2.74353606939316
DRT,debiased_test,1600,Null,KLR,0.07,5.69064882516861
CIT,RCIT_test,1600,Null,lm,0.07,0.0813469958305359
CIT,RCIT_test,1600,Null,ranger,0.07,0.0796857333183289
CIT,GCM_test,1600,Null,lm,0.15,0.0874850726127625
CIT,GCM_test,1600,Null,ranger,0.11,1.50276062488556
CIT,WGSC_test,1600,Null,lm,0.11,0.835534074306488
CIT,WGSC_test,1600,Null,ranger,0,12.321000649929
CIT,PCM_test,1600,Null,lm,0.03,0.104942638874054
CIT,PCM_test,1600,Null,ranger,0,1.55962256669998
DRT,LinearMMD_test,2000,Null,LL,0.08,0.106746561527252
DRT,LinearMMD_test,2000,Null,KLR,0.08,4.50035214185715
DRT,CLF_test,2000,Null,LL,0.35,0.17583428144455
DRT,CLF_test,2000,Null,KLR,0.03,6.55542243480682
DRT,CP_test,2000,Null,LL,0.12,0.118514750003815
DRT,CP_test,2000,Null,KLR,0.11,4.47863502264023
DRT,CV_LinearMMD_test,2000,Null,LL,0.15,0.214048554897308
DRT,CV_LinearMMD_test,2000,Null,KLR,0.1,9.10222328901291
DRT,CV_CLF_test,2000,Null,LL,0.57,0.354536399841309
DRT,CV_CLF_test,2000,Null,KLR,0.08,13.365493645668
DRT,debiased_test,2000,Null,LL,0.1,4.4154057765007
DRT,debiased_test,2000,Null,KLR,0.06,9.96932903528213
CIT,RCIT_test,2000,Null,lm,0.06,0.0958812975883484
CIT,RCIT_test,2000,Null,ranger,0.06,0.0960798025131226
CIT,GCM_test,2000,Null,lm,0.13,0.111855888366699
CIT,GCM_test,2000,Null,ranger,0.18,2.06265108108521
CIT,WGSC_test,2000,Null,lm,0.13,1.03719880342484
CIT,WGSC_test,2000,Null,ranger,0,16.885745818615
CIT,PCM_test,2000,Null,lm,0.04,0.130716397762299
CIT,PCM_test,2000,Null,ranger,0.01,2.12925267219543
