test_type,test_name,n,h_label,estimator,rejection_rate,avg_time_sec
DRT,LinearMMD_test,200,Null,LL,0.06,0.0108740329742432
DRT,LinearMMD_test,200,Null,KLR,0.06,0.0374929285049439
DRT,CV_LinearMMD_test,200,Null,LL,0.07,0.0133243894577026
DRT,CV_LinearMMD_test,200,Null,KLR,0.03,0.0793640184402466
DRT,CLF_test,200,Null,LL,0.08,0.01124431848526
DRT,CLF_test,200,Null,KLR,0.06,0.0593317103385925
DRT,CV_CLF_test,200,Null,LL,0.11,0.0186729431152344
DRT,CV_CLF_test,200,Null,KLR,0.08,0.101530544757843
DRT,CP_test,200,Null,LL,0.06,0.0116799235343933
DRT,CP_test,200,Null,KLR,0.04,0.0431150078773499
DRT,debiased_test,200,Null,LL,0.04,0.0983781504631042
DRT,debiased_test,200,Null,KLR,0.02,0.166199760437012
DRT,BlockMMD_test,200,Null,LL,0.11,0.0141490530967712
DRT,BlockMMD_test,200,Null,KLR,0.02,0.038450026512146
DRT,CV_BlockMMD_test,200,Null,LL,0.12,0.0243966603279114
DRT,CV_BlockMMD_test,200,Null,KLR,0.01,0.0776481223106384
DRT,bootstrap_MMD_test,200,Null,LL,0.38,0.200642166137695
DRT,bootstrap_MMD_test,200,Null,KLR,0.02,0.230765390396118
CIT,RCIT_test,200,Null,lm,0.1,0.0204609417915344
CIT,RCIT_test,200,Null,ranger,0.1,0.0202907943725586
CIT,PCM_test,200,Null,lm,0.09,0.0108022236824036
CIT,PCM_test,200,Null,ranger,0.04,0.104316539764404
CIT,GCM_test,200,Null,lm,0.05,0.00599953174591065
CIT,GCM_test,200,Null,ranger,0.1,0.0515583181381226
CIT,WGSC_test,200,Null,lm,0.09,0.041797034740448
CIT,WGSC_test,200,Null,ranger,0.01,0.450893383026123
DRT,LinearMMD_test,200,Alternative,LL,0.09,0.0068235445022583
DRT,LinearMMD_test,200,Alternative,KLR,0.05,0.0334279823303223
DRT,CV_LinearMMD_test,200,Alternative,LL,0.08,0.0113304924964905
DRT,CV_LinearMMD_test,200,Alternative,KLR,0.07,0.0707414364814758
DRT,CLF_test,200,Alternative,LL,0.15,0.012881133556366
DRT,CLF_test,200,Alternative,KLR,0.16,0.06562824010849
DRT,CV_CLF_test,200,Alternative,LL,0.25,0.0213554835319519
DRT,CV_CLF_test,200,Alternative,KLR,0.2,0.118192908763886
DRT,CP_test,200,Alternative,LL,0.29,0.010004723072052
DRT,CP_test,200,Alternative,KLR,0.37,0.0466724872589111
DRT,debiased_test,200,Alternative,LL,0.17,0.10698157787323
DRT,debiased_test,200,Alternative,KLR,0.16,0.176260244846344
DRT,BlockMMD_test,200,Alternative,LL,0.11,0.016622805595398
DRT,BlockMMD_test,200,Alternative,KLR,0.06,0.0416179990768433
DRT,CV_BlockMMD_test,200,Alternative,LL,0.18,0.0238768076896668
DRT,CV_BlockMMD_test,200,Alternative,KLR,0.04,0.0845552372932434
DRT,bootstrap_MMD_test,200,Alternative,LL,0.56,0.206438059806824
DRT,bootstrap_MMD_test,200,Alternative,KLR,0.33,0.219984536170959
CIT,RCIT_test,200,Alternative,lm,0.39,0.0217335224151611
CIT,RCIT_test,200,Alternative,ranger,0.39,0.0203448224067688
CIT,PCM_test,200,Alternative,lm,0.03,0.0109623408317566
CIT,PCM_test,200,Alternative,ranger,0.23,0.0989406442642212
CIT,GCM_test,200,Alternative,lm,0.55,0.00540512800216675
CIT,GCM_test,200,Alternative,ranger,0.52,0.0468130826950073
CIT,WGSC_test,200,Alternative,lm,0.03,0.0476939082145691
CIT,WGSC_test,200,Alternative,ranger,0.01,0.529522037506104
DRT,LinearMMD_test,400,Null,LL,0.06,0.0114483880996704
DRT,LinearMMD_test,400,Null,KLR,0.08,0.14674268245697
DRT,CV_LinearMMD_test,400,Null,LL,0.08,0.0192371916770935
DRT,CV_LinearMMD_test,400,Null,KLR,0.05,0.247350702285767
DRT,CLF_test,400,Null,LL,0.06,0.0132246661186218
DRT,CLF_test,400,Null,KLR,0.04,0.167638161182404
DRT,CV_CLF_test,400,Null,LL,0.07,0.0235461354255676
DRT,CV_CLF_test,400,Null,KLR,0.05,0.341612524986267
DRT,CP_test,400,Null,LL,0.04,0.0134494018554688
DRT,CP_test,400,Null,KLR,0.03,0.128798172473907
DRT,debiased_test,400,Null,LL,0.06,0.20347615480423
DRT,debiased_test,400,Null,KLR,0.03,0.398331506252289
DRT,BlockMMD_test,400,Null,LL,0.08,0.027546808719635
DRT,BlockMMD_test,400,Null,KLR,0.04,0.143549244403839
DRT,CV_BlockMMD_test,400,Null,LL,0.11,0.0557918238639832
DRT,CV_BlockMMD_test,400,Null,KLR,0.05,0.28339644908905
DRT,bootstrap_MMD_test,400,Null,LL,0.32,0.860201888084412
DRT,bootstrap_MMD_test,400,Null,KLR,0.05,0.894454379081726
CIT,RCIT_test,400,Null,lm,0.11,0.0335322046279907
CIT,RCIT_test,400,Null,ranger,0.11,0.0307751536369324
CIT,PCM_test,400,Null,lm,0.06,0.0108099675178528
CIT,PCM_test,400,Null,ranger,0.05,0.147940807342529
CIT,GCM_test,400,Null,lm,0.06,0.00706452369689941
CIT,GCM_test,400,Null,ranger,0.07,0.107036139965057
CIT,WGSC_test,400,Null,lm,0.11,0.0620997142791748
CIT,WGSC_test,400,Null,ranger,0,1.00654519557953
DRT,LinearMMD_test,400,Alternative,LL,0.11,0.0118176960945129
DRT,LinearMMD_test,400,Alternative,KLR,0.08,0.116377558708191
DRT,CV_LinearMMD_test,400,Alternative,LL,0.15,0.0157496476173401
DRT,CV_LinearMMD_test,400,Alternative,KLR,0.1,0.24241060256958
DRT,CLF_test,400,Alternative,LL,0.29,0.0125280046463013
DRT,CLF_test,400,Alternative,KLR,0.22,0.168921465873718
DRT,CV_CLF_test,400,Alternative,LL,0.31,0.0237324500083923
DRT,CV_CLF_test,400,Alternative,KLR,0.28,0.331157460212708
DRT,CP_test,400,Alternative,LL,0.49,0.0134925246238709
DRT,CP_test,400,Alternative,KLR,0.58,0.124299952983856
DRT,debiased_test,400,Alternative,LL,0.48,0.206548676490784
DRT,debiased_test,400,Alternative,KLR,0.42,0.405137388706207
DRT,BlockMMD_test,400,Alternative,LL,0.24,0.0278116965293884
DRT,BlockMMD_test,400,Alternative,KLR,0.16,0.13661502122879
DRT,CV_BlockMMD_test,400,Alternative,LL,0.25,0.055685293674469
DRT,CV_BlockMMD_test,400,Alternative,KLR,0.12,0.29696275472641
DRT,bootstrap_MMD_test,400,Alternative,LL,0.7,0.903645341396332
DRT,bootstrap_MMD_test,400,Alternative,KLR,0.54,0.917052803039551
CIT,RCIT_test,400,Alternative,lm,0.57,0.0312747049331665
CIT,RCIT_test,400,Alternative,ranger,0.57,0.0310803198814392
CIT,PCM_test,400,Alternative,lm,0.06,0.0113815093040466
CIT,PCM_test,400,Alternative,ranger,0.23,0.172300620079041
CIT,GCM_test,400,Alternative,lm,0.77,0.00691937685012817
CIT,GCM_test,400,Alternative,ranger,0.79,0.102201693058014
CIT,WGSC_test,400,Alternative,lm,0.03,0.0595339131355286
CIT,WGSC_test,400,Alternative,ranger,0,0.873462057113648
DRT,LinearMMD_test,800,Null,LL,0.04,0.0124928331375122
DRT,LinearMMD_test,800,Null,KLR,0.02,0.537654504776001
DRT,CV_LinearMMD_test,800,Null,LL,0.05,0.0230688500404358
DRT,CV_LinearMMD_test,800,Null,KLR,0.06,1.07386548519135
DRT,CLF_test,800,Null,LL,0.03,0.0163607931137085
DRT,CLF_test,800,Null,KLR,0.02,0.755990681648254
DRT,CV_CLF_test,800,Null,LL,0.09,0.0309376287460327
DRT,CV_CLF_test,800,Null,KLR,0.07,1.47396269321442
DRT,CP_test,800,Null,LL,0.06,0.019745364189148
DRT,CP_test,800,Null,KLR,0.05,0.546244764328003
DRT,debiased_test,800,Null,LL,0.04,0.733034195899963
DRT,debiased_test,800,Null,KLR,0.01,1.55631756305695
DRT,BlockMMD_test,800,Null,LL,0.05,0.0678355717658997
DRT,BlockMMD_test,800,Null,KLR,0.01,0.59057667016983
DRT,CV_BlockMMD_test,800,Null,LL,0.09,0.147848052978516
DRT,CV_BlockMMD_test,800,Null,KLR,0.01,1.22568062782288
DRT,bootstrap_MMD_test,800,Null,LL,0.26,3.49297583818436
DRT,bootstrap_MMD_test,800,Null,KLR,0.04,3.7185219502449
CIT,RCIT_test,800,Null,lm,0.09,0.0482418537139893
CIT,RCIT_test,800,Null,ranger,0.09,0.047669632434845
CIT,PCM_test,800,Null,lm,0.05,0.0156501746177673
CIT,PCM_test,800,Null,ranger,0.06,0.337037229537964
CIT,GCM_test,800,Null,lm,0.03,0.00850387573242188
CIT,GCM_test,800,Null,ranger,0.06,0.203839375972748
CIT,WGSC_test,800,Null,lm,0.09,0.0760330367088318
CIT,WGSC_test,800,Null,ranger,0.03,1.67456736803055
DRT,LinearMMD_test,800,Alternative,LL,0.11,0.0133241534233093
DRT,LinearMMD_test,800,Alternative,KLR,0.08,0.561947813034058
DRT,CV_LinearMMD_test,800,Alternative,LL,0.12,0.027843770980835
DRT,CV_LinearMMD_test,800,Alternative,KLR,0.08,1.39053433179855
DRT,CLF_test,800,Alternative,LL,0.21,0.020747275352478
DRT,CLF_test,800,Alternative,KLR,0.19,0.927100470066071
