test_type,test_name,n,h_label,estimator,rejection_rate,avg_time_sec
DRT,LinearMMD_test,200,Null,LL,0.01,0.0291599225997925
DRT,LinearMMD_test,200,Null,KLR,0.08,0.040937557220459
DRT,CV_LinearMMD_test,200,Null,LL,0.11,0.0688686466217041
DRT,CV_LinearMMD_test,200,Null,KLR,0.07,0.0979019260406494
DRT,CLF_test,200,Null,LL,0.75,0.0699232840538025
DRT,CLF_test,200,Null,KLR,0.08,0.0703206729888916
DRT,CV_CLF_test,200,Null,LL,0.91,0.133333570957184
DRT,CV_CLF_test,200,Null,KLR,0.08,0.11500027179718
DRT,CP_test,200,Null,LL,0,0.0341625595092773
DRT,CP_test,200,Null,KLR,0.07,0.0473953008651733
DRT,debiased_test,200,Null,LL,0.13,0.266900947093964
DRT,debiased_test,200,Null,KLR,0.04,0.228917582035065
DRT,BlockMMD_test,200,Null,LL,0.08,0.0431785535812378
DRT,BlockMMD_test,200,Null,KLR,0.03,0.0522762608528137
DRT,CV_BlockMMD_test,200,Null,LL,0.19,0.0864095497131348
DRT,CV_BlockMMD_test,200,Null,KLR,0.07,0.100773024559021
DRT,bootstrap_MMD_test,200,Null,LL,0.31,0.312453105449677
DRT,bootstrap_MMD_test,200,Null,KLR,0.13,0.296339421272278
CIT,RCIT_test,200,Null,lm,0.23,0.0432340669631958
CIT,RCIT_test,200,Null,ranger,0.23,0.0448828959465027
CIT,RCIT_test,200,Null,xgb,0.23,0.045316686630249
CIT,PCM_test,200,Null,lm,0.08,0.0357075762748718
CIT,PCM_test,200,Null,ranger,0.05,0.152080662250519
CIT,PCM_test,200,Null,xgb,0.09,1.37200951814651
CIT,GCM_test,200,Null,lm,0.1,0.0138843655586243
CIT,GCM_test,200,Null,ranger,0.1,0.105904858112335
CIT,GCM_test,200,Null,xgb,0.18,0.734912469387055
CIT,WGSC_test,200,Null,lm,0.33,0.136768910884857
CIT,WGSC_test,200,Null,ranger,0,0.981592643260956
CIT,WGSC_test,200,Null,xgb,0,9.3030216050148
DRT,LinearMMD_test,200,Alternative,LL,0.01,0.0316814970970154
DRT,LinearMMD_test,200,Alternative,KLR,0.08,0.0407732343673706
DRT,CV_LinearMMD_test,200,Alternative,LL,0.11,0.0612687492370606
DRT,CV_LinearMMD_test,200,Alternative,KLR,0.06,0.0831897401809692
DRT,CLF_test,200,Alternative,LL,0.72,0.065184440612793
DRT,CLF_test,200,Alternative,KLR,0.21,0.0613747596740723
DRT,CV_CLF_test,200,Alternative,LL,0.93,0.130098278522491
DRT,CV_CLF_test,200,Alternative,KLR,0.3,0.119393508434296
DRT,CP_test,200,Alternative,LL,0,0.0325944757461548
DRT,CP_test,200,Alternative,KLR,0.34,0.0430079960823059
DRT,debiased_test,200,Alternative,LL,0.2,0.248429338932037
DRT,debiased_test,200,Alternative,KLR,0.12,0.223241484165192
DRT,BlockMMD_test,200,Alternative,LL,0.09,0.0394773983955383
DRT,BlockMMD_test,200,Alternative,KLR,0.03,0.0487040901184082
DRT,CV_BlockMMD_test,200,Alternative,LL,0.19,0.0814827632904053
DRT,CV_BlockMMD_test,200,Alternative,KLR,0.07,0.100195937156677
DRT,bootstrap_MMD_test,200,Alternative,LL,0.31,0.294464793205261
DRT,bootstrap_MMD_test,200,Alternative,KLR,0.14,0.284553225040436
CIT,RCIT_test,200,Alternative,lm,0.31,0.0417191219329834
CIT,RCIT_test,200,Alternative,ranger,0.31,0.0415157341957092
CIT,RCIT_test,200,Alternative,xgb,0.31,0.0420017099380493
CIT,PCM_test,200,Alternative,lm,0.05,0.0327567195892334
CIT,PCM_test,200,Alternative,ranger,0.06,0.16719539642334
CIT,PCM_test,200,Alternative,xgb,0.03,1.59850113153458
CIT,GCM_test,200,Alternative,lm,0.5,0.013992965221405
CIT,GCM_test,200,Alternative,ranger,0.53,0.110106365680695
CIT,GCM_test,200,Alternative,xgb,0.25,0.937780804634094
CIT,WGSC_test,200,Alternative,lm,0.31,0.138405981063843
CIT,WGSC_test,200,Alternative,ranger,0.02,1.02119677305222
CIT,WGSC_test,200,Alternative,xgb,0,9.28045400381088
DRT,LinearMMD_test,400,Null,LL,0.04,0.037316722869873
DRT,LinearMMD_test,400,Null,KLR,0.08,0.134536945819855
