dataset,n,method,clf_error,clf_error_sd,dr_error,dr_error_sd
Superconductivity (High-dim),200,LLR,0.3127,0.0219452007677008,0.3746,0.0438904015354015
Superconductivity (High-dim),200,KLR,0.50465,0.237295567224695,0.4669,0.0536702897327749
Superconductivity (High-dim),400,LLR,0.376125,0.0134065406288368,0.24775,0.0268130812576737
Superconductivity (High-dim),400,KLR,0.487825,0.198912029640528,0.39345,0.0301141112084941
Superconductivity (High-dim),600,LLR,0.402916666666667,0.0109267946475552,0.194166666666667,0.0218535892951104
Superconductivity (High-dim),600,KLR,0.519716666666667,0.174767955163203,0.347233333333333,0.0270269245110515
Superconductivity (High-dim),800,LLR,0.4154625,0.00962449475217759,0.169075,0.0192489895043552
Superconductivity (High-dim),800,KLR,0.536475,0.156901994790977,0.31815,0.0248621710842076
Superconductivity (High-dim),1200,LLR,0.430725,0.00792798600012265,0.13855,0.0158559720002453
Superconductivity (High-dim),1200,KLR,0.513681972789116,0.142806063123304,0.277816666666667,0.0436009820407825
Superconductivity (High-dim),1600,LLR,0.44219375,0.00808183441507899,0.1156125,0.016163668830158
Superconductivity (High-dim),1600,KLR,0.565803571428571,0.110043049104657,0.249025,0.0386105043468532
Superconductivity (High-dim),2000,LLR,0.446845,0.00661397137482003,0.10631,0.0132279427496401
Superconductivity (High-dim),2000,KLR,0.565985,0.101489448657363,0.24007,0.0127335367900546
Diamonds (Low-dim),200,LLR,0.454,0.0204103315174708,0.092,0.0408206630349416
Diamonds (Low-dim),200,KLR,0.4969,0.129501162235743,0.2544,0.0328825988346792
Diamonds (Low-dim),400,LLR,0.46835,0.0119614602207358,0.0633,0.0239229204414716
Diamonds (Low-dim),400,KLR,0.49255,0.104765883311899,0.2059,0.0294973191448764
Diamonds (Low-dim),600,LLR,0.475083333333333,0.00909643784158919,0.0498333333333333,0.0181928756831784
Diamonds (Low-dim),600,KLR,0.509166666666667,0.0863765749402736,0.1706,0.0220973931625543
Diamonds (Low-dim),800,LLR,0.4762625,0.0109639730644116,0.047925,0.020905231378284
Diamonds (Low-dim),800,KLR,0.4903875,0.0791485390317936,0.156625,0.0200767818229752
Diamonds (Low-dim),1200,LLR,0.48325,0.00839517867250667,0.0335,0.0167903573450133
Diamonds (Low-dim),1200,KLR,0.503375,0.0674351566640754,0.132983333333333,0.0138209004861996
Diamonds (Low-dim),1600,LLR,0.48465625,0.00809754240006919,0.0311125,0.0153453494999466
Diamonds (Low-dim),1600,KLR,0.4994,0.0603010107223142,0.1185,0.0147475568713421
Diamonds (Low-dim),2000,LLR,0.486125,0.00733982879464459,0.02787,0.0144458206652955
Diamonds (Low-dim),2000,KLR,0.498425531914894,0.0541691672612394,0.10022,0.0279118802882301
