dataset,n,method,clf_error,clf_error_sd,dr_error,dr_error_sd
"Superconductivity (High-dim, d=82)",200,LLR,0.5064,0.0340830832768481,238710153251463,459505428819937
"Superconductivity (High-dim, d=82)",200,KLR,0.5,0,0,0
"Superconductivity (High-dim, d=82)",400,LLR,0.50005,0.0234708609371559,1462087.75083683,10351131.7776336
"Superconductivity (High-dim, d=82)",400,KLR,0.5,0,0,0
"Superconductivity (High-dim, d=82)",600,LLR,0.498733333333333,0.0172492781937177,9.93233482263043,39.9459317563583
"Superconductivity (High-dim, d=82)",600,KLR,0.5,0,0,0
"Superconductivity (High-dim, d=82)",800,LLR,0.5005,0.0148125918997277,1.74834847638993,3.50179244627489
"Superconductivity (High-dim, d=82)",800,KLR,0.5,0,0,0
"Superconductivity (High-dim, d=82)",1200,LLR,0.503241666666667,0.0142409396837146,0.637868500561878,0.257853205265126
"Superconductivity (High-dim, d=82)",1200,KLR,0.5,0,0,0
"Superconductivity (High-dim, d=82)",1600,LLR,0.5009875,0.0110946698117755,0.452739382435543,0.0985882142102481
"Superconductivity (High-dim, d=82)",1600,KLR,0.5,0,0,0
"Superconductivity (High-dim, d=82)",2000,LLR,0.502755,0.0120787598450312,0.373525330284315,0.0872704606696253
"Superconductivity (High-dim, d=82)",2000,KLR,0.5,0,0,0
"Diamonds (Low-dim, d=6)",200,LLR,0.497,0.034443629837223,450359962737.352,3168401551206.25
"Diamonds (Low-dim, d=6)",200,KLR,0.5,0,0,0
"Diamonds (Low-dim, d=6)",400,LLR,0.501825,0.025057648180211,225179981396.778,1584200775599.19
"Diamonds (Low-dim, d=6)",400,KLR,0.5,0,0,0
"Diamonds (Low-dim, d=6)",600,LLR,0.5002,0.0190931910345881,300239981430.809,1478279446836.17
"Diamonds (Low-dim, d=6)",600,KLR,0.5,0,0,0
"Diamonds (Low-dim, d=6)",800,LLR,0.50025,0.0182729722582703,56326436666.5078,562946855339.198
"Diamonds (Low-dim, d=6)",800,KLR,0.5,0,0,0
"Diamonds (Low-dim, d=6)",1200,LLR,0.499333333333333,0.0134668191810546,75060504657.2987,528066851871.867
"Diamonds (Low-dim, d=6)",1200,KLR,0.5,0,0,0
"Diamonds (Low-dim, d=6)",1600,LLR,0.5007125,0.0116076768941416,28205572184.0658,281469708851.245
"Diamonds (Low-dim, d=6)",1600,KLR,0.5,0,0,0
"Diamonds (Low-dim, d=6)",2000,LLR,0.49872,0.0118424676653154,45036190345.8482,316841504950.06
"Diamonds (Low-dim, d=6)",2000,KLR,0.5,0,0,0
