test,prop,power,valid.x,total.x,type1_error,valid.y,total.y
BlockMMD_test,0.1,0.99,500,500,0.288,500,500
BlockMMD_test,0.3,0.958,500,500,0.08,500,500
BlockMMD_test,0.5,0.816,500,500,0.046,500,500
BlockMMD_test,0.7,0.536,500,500,0.04,500,500
BlockMMD_test,0.9,0.166,500,500,0.038,500,500
CLF_test,0.1,0.046,500,500,0.058,500,500
CLF_test,0.3,0.108,500,500,0.124,500,500
CLF_test,0.5,0.132,500,500,0.164,500,500
CLF_test,0.7,0.234,500,500,0.228,500,500
CLF_test,0.9,0.324,500,500,0.316,500,500
CP_test,0.1,0.944,500,500,0.058,500,500
CP_test,0.3,0.996,500,500,0.064,500,500
CP_test,0.5,0.996,500,500,0.062,500,500
CP_test,0.7,0.988,500,500,0.068,500,500
CP_test,0.9,0.952,500,500,0.112,500,500
LinearMMD_test,0.1,0.222,500,500,0.07,500,500
LinearMMD_test,0.3,0.198,500,500,0.056,500,500
LinearMMD_test,0.5,0.142,500,500,0.052,500,500
LinearMMD_test,0.7,0.124,500,500,0.042,500,500
LinearMMD_test,0.9,0.106,500,500,0.07,500,500
bootstrap_MMD_test,0.1,1,500,500,0.918,500,500
bootstrap_MMD_test,0.3,1,500,500,0.39,500,500
bootstrap_MMD_test,0.5,1,500,500,0.144,500,500
bootstrap_MMD_test,0.7,0.996,500,500,0.11,500,500
bootstrap_MMD_test,0.9,0.736,500,500,0.062,500,500
debiased_test,0.1,0.994,500,500,0.044,500,500
debiased_test,0.3,0.994,500,500,0.044,500,500
debiased_test,0.5,0.994,500,500,0.044,500,500
debiased_test,0.7,0.994,500,500,0.044,500,500
debiased_test,0.9,0.994,500,500,0.044,500,500
