test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.048
DRT,CV_LinearMMD_test,200,Null,0.054
DRT,CLF_test,200,Null,0.008
DRT,CV_CLF_test,200,Null,0.018
DRT,CP_test,200,Null,0.022
DRT,debiased_test,200,Null,0.028
DRT,BlockMMD_test,200,Null,0.062
DRT,CV_BlockMMD_test,200,Null,0.016
DRT,bootstrap_MMD_test,200,Null,0.132
CIT,RCIT_test,200,Null,0.152
CIT,PCM_test,200,Null,0.088
CIT,GCM_test,200,Null,0.034
DRT,LinearMMD_test,200,Alternative,0.052
DRT,CV_LinearMMD_test,200,Alternative,0.066
DRT,CLF_test,200,Alternative,0.04
DRT,CV_CLF_test,200,Alternative,0.094
DRT,CP_test,200,Alternative,0.246
DRT,debiased_test,200,Alternative,0.16
DRT,BlockMMD_test,200,Alternative,0.076
DRT,CV_BlockMMD_test,200,Alternative,0.02
DRT,bootstrap_MMD_test,200,Alternative,0.166
CIT,RCIT_test,200,Alternative,0.36
CIT,PCM_test,200,Alternative,0.14
CIT,GCM_test,200,Alternative,0.388
DRT,LinearMMD_test,500,Null,0.06
DRT,CV_LinearMMD_test,500,Null,0.058
DRT,CLF_test,500,Null,0.004
DRT,CV_CLF_test,500,Null,0.014
DRT,CP_test,500,Null,0.034
DRT,debiased_test,500,Null,0.046
DRT,BlockMMD_test,500,Null,0.044
DRT,CV_BlockMMD_test,500,Null,0.02
DRT,bootstrap_MMD_test,500,Null,0.134
CIT,RCIT_test,500,Null,0.152
CIT,PCM_test,500,Null,0.088
CIT,GCM_test,500,Null,0.038
DRT,LinearMMD_test,500,Alternative,0.056
DRT,CV_LinearMMD_test,500,Alternative,0.052
DRT,CLF_test,500,Alternative,0.082
DRT,CV_CLF_test,500,Alternative,0.178
DRT,CP_test,500,Alternative,0.616
DRT,debiased_test,500,Alternative,0.512
DRT,BlockMMD_test,500,Alternative,0.068
DRT,CV_BlockMMD_test,500,Alternative,0.034
DRT,bootstrap_MMD_test,500,Alternative,0.222
CIT,RCIT_test,500,Alternative,0.636
CIT,PCM_test,500,Alternative,0.23
CIT,GCM_test,500,Alternative,0.836
DRT,LinearMMD_test,1000,Null,0.034
DRT,CV_LinearMMD_test,1000,Null,0.034
DRT,CLF_test,1000,Null,0.016
DRT,CV_CLF_test,1000,Null,0.018
DRT,CP_test,1000,Null,0.038
DRT,debiased_test,1000,Null,0.048
DRT,BlockMMD_test,1000,Null,0.048
DRT,CV_BlockMMD_test,1000,Null,0.028
DRT,bootstrap_MMD_test,1000,Null,0.118
CIT,RCIT_test,1000,Null,0.204
CIT,PCM_test,1000,Null,0.134
CIT,GCM_test,1000,Null,0.024
DRT,LinearMMD_test,1000,Alternative,0.042
DRT,CV_LinearMMD_test,1000,Alternative,0.044
DRT,CLF_test,1000,Alternative,0.152
DRT,CV_CLF_test,1000,Alternative,0.308
DRT,CP_test,1000,Alternative,0.848
DRT,debiased_test,1000,Alternative,0.764
DRT,BlockMMD_test,1000,Alternative,0.068
DRT,CV_BlockMMD_test,1000,Alternative,0.056
DRT,bootstrap_MMD_test,1000,Alternative,0.28
CIT,RCIT_test,1000,Alternative,0.866
CIT,PCM_test,1000,Alternative,0.376
CIT,GCM_test,1000,Alternative,0.988
DRT,LinearMMD_test,2000,Null,0.026
DRT,CV_LinearMMD_test,2000,Null,0.012
DRT,CLF_test,2000,Null,0.014
DRT,CV_CLF_test,2000,Null,0.012
DRT,CP_test,2000,Null,0.046
DRT,debiased_test,2000,Null,0.054
DRT,BlockMMD_test,2000,Null,0.034
DRT,CV_BlockMMD_test,2000,Null,0.03
DRT,bootstrap_MMD_test,2000,Null,0.194
CIT,RCIT_test,2000,Null,0.408
CIT,PCM_test,2000,Null,0.186
CIT,GCM_test,2000,Null,0.026
DRT,LinearMMD_test,2000,Alternative,0.028
DRT,CV_LinearMMD_test,2000,Alternative,0.02
DRT,CLF_test,2000,Alternative,0.344
DRT,CV_CLF_test,2000,Alternative,0.582
DRT,CP_test,2000,Alternative,0.97
DRT,debiased_test,2000,Alternative,0.878
DRT,BlockMMD_test,2000,Alternative,0.07
DRT,CV_BlockMMD_test,2000,Alternative,0.066
DRT,bootstrap_MMD_test,2000,Alternative,0.564
CIT,RCIT_test,2000,Alternative,0.952
CIT,PCM_test,2000,Alternative,0.584
CIT,GCM_test,2000,Alternative,1
