test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.06
DRT,CV_LinearMMD_test,200,Null,0.112
DRT,CLF_test,200,Null,0.008
DRT,CV_CLF_test,200,Null,0.026
DRT,CP_test,200,Null,0.08
DRT,debiased_test,200,Null,0.014
DRT,BlockMMD_test,200,Null,0.144
DRT,CV_BlockMMD_test,200,Null,0.118
DRT,bootstrap_MMD_test,200,Null,0.246
CIT,RCIT_test,200,Null,0.124
CIT,PCM_test,200,Null,0.082
CIT,GCM_test,200,Null,0.028
DRT,LinearMMD_test,200,Alternative,0.056
DRT,CV_LinearMMD_test,200,Alternative,0.116
DRT,CLF_test,200,Alternative,0.052
DRT,CV_CLF_test,200,Alternative,0.162
DRT,CP_test,200,Alternative,0.37
DRT,debiased_test,200,Alternative,0.104
DRT,BlockMMD_test,200,Alternative,0.148
DRT,CV_BlockMMD_test,200,Alternative,0.118
DRT,bootstrap_MMD_test,200,Alternative,0.258
CIT,RCIT_test,200,Alternative,0.21
CIT,PCM_test,200,Alternative,0.106
CIT,GCM_test,200,Alternative,0.114
DRT,LinearMMD_test,500,Null,0.06
DRT,CV_LinearMMD_test,500,Null,0.126
DRT,CLF_test,500,Null,0.008
DRT,CV_CLF_test,500,Null,0.03
DRT,CP_test,500,Null,0.142
DRT,debiased_test,500,Null,0.014
DRT,BlockMMD_test,500,Null,0.162
DRT,CV_BlockMMD_test,500,Null,0.176
DRT,bootstrap_MMD_test,500,Null,0.466
CIT,RCIT_test,500,Null,0.092
CIT,PCM_test,500,Null,0.08
CIT,GCM_test,500,Null,0.028
DRT,LinearMMD_test,500,Alternative,0.072
DRT,CV_LinearMMD_test,500,Alternative,0.126
DRT,CLF_test,500,Alternative,0.11
DRT,CV_CLF_test,500,Alternative,0.258
DRT,CP_test,500,Alternative,0.614
DRT,debiased_test,500,Alternative,0.242
DRT,BlockMMD_test,500,Alternative,0.17
DRT,CV_BlockMMD_test,500,Alternative,0.202
DRT,bootstrap_MMD_test,500,Alternative,0.504
CIT,RCIT_test,500,Alternative,0.292
CIT,PCM_test,500,Alternative,0.086
CIT,GCM_test,500,Alternative,0.25
DRT,LinearMMD_test,1000,Null,0.084
DRT,CV_LinearMMD_test,1000,Null,0.122
DRT,CLF_test,1000,Null,0.01
DRT,CV_CLF_test,1000,Null,0.044
DRT,CP_test,1000,Null,0.156
DRT,debiased_test,1000,Null,0.016
DRT,BlockMMD_test,1000,Null,0.224
DRT,CV_BlockMMD_test,1000,Null,0.264
DRT,bootstrap_MMD_test,1000,Null,0.764
CIT,RCIT_test,1000,Null,0.08
CIT,PCM_test,1000,Null,0.076
CIT,GCM_test,1000,Null,0.028
DRT,LinearMMD_test,1000,Alternative,0.078
DRT,CV_LinearMMD_test,1000,Alternative,0.118
DRT,CLF_test,1000,Alternative,0.156
DRT,CV_CLF_test,1000,Alternative,0.464
DRT,CP_test,1000,Alternative,0.66
DRT,debiased_test,1000,Alternative,0.31
DRT,BlockMMD_test,1000,Alternative,0.262
DRT,CV_BlockMMD_test,1000,Alternative,0.302
DRT,bootstrap_MMD_test,1000,Alternative,0.812
CIT,RCIT_test,1000,Alternative,0.414
CIT,PCM_test,1000,Alternative,0.134
CIT,GCM_test,1000,Alternative,0.47
DRT,LinearMMD_test,2000,Null,0.106
DRT,CV_LinearMMD_test,2000,Null,0.17
DRT,CLF_test,2000,Null,0.012
DRT,CV_CLF_test,2000,Null,0.06
DRT,CP_test,2000,Null,0.206
DRT,debiased_test,2000,Null,0.006
DRT,BlockMMD_test,2000,Null,0.322
DRT,CV_BlockMMD_test,2000,Null,0.46
DRT,bootstrap_MMD_test,2000,Null,0.98
CIT,RCIT_test,2000,Null,0.058
CIT,PCM_test,2000,Null,0.074
CIT,GCM_test,2000,Null,0.024
DRT,LinearMMD_test,2000,Alternative,0.102
DRT,CV_LinearMMD_test,2000,Alternative,0.172
DRT,CLF_test,2000,Alternative,0.334
DRT,CV_CLF_test,2000,Alternative,0.738
DRT,CP_test,2000,Alternative,0.642
DRT,debiased_test,2000,Alternative,0.26
DRT,BlockMMD_test,2000,Alternative,0.366
DRT,CV_BlockMMD_test,2000,Alternative,0.506
DRT,bootstrap_MMD_test,2000,Alternative,0.992
CIT,RCIT_test,2000,Alternative,0.684
CIT,PCM_test,2000,Alternative,0.178
CIT,GCM_test,2000,Alternative,0.79
