test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.038
DRT,CV_LinearMMD_test,200,Null,0.112
DRT,CLF_test,200,Null,0.006
DRT,CV_CLF_test,200,Null,0.02
DRT,CP_test,200,Null,0.046
DRT,debiased_test,200,Null,0.014
DRT,BlockMMD_test,200,Null,0.088
DRT,CV_BlockMMD_test,200,Null,0.078
DRT,bootstrap_MMD_test,200,Null,0.158
CIT,RCIT_test,200,Null,0.172
CIT,PCM_test,200,Null,0.08
CIT,GCM_test,200,Null,0.03
DRT,LinearMMD_test,200,Alternative,0.038
DRT,CV_LinearMMD_test,200,Alternative,0.116
DRT,CLF_test,200,Alternative,0.024
DRT,CV_CLF_test,200,Alternative,0.086
DRT,CP_test,200,Alternative,0.282
DRT,debiased_test,200,Alternative,0.124
DRT,BlockMMD_test,200,Alternative,0.088
DRT,CV_BlockMMD_test,200,Alternative,0.086
DRT,bootstrap_MMD_test,200,Alternative,0.17
CIT,RCIT_test,200,Alternative,0.238
CIT,PCM_test,200,Alternative,0.108
CIT,GCM_test,200,Alternative,0.138
DRT,LinearMMD_test,500,Null,0.078
DRT,CV_LinearMMD_test,500,Null,0.144
DRT,CLF_test,500,Null,0.014
DRT,CV_CLF_test,500,Null,0.02
DRT,CP_test,500,Null,0.064
DRT,debiased_test,500,Null,0.026
DRT,BlockMMD_test,500,Null,0.11
DRT,CV_BlockMMD_test,500,Null,0.082
DRT,bootstrap_MMD_test,500,Null,0.256
CIT,RCIT_test,500,Null,0.094
CIT,PCM_test,500,Null,0.072
CIT,GCM_test,500,Null,0.032
DRT,LinearMMD_test,500,Alternative,0.076
DRT,CV_LinearMMD_test,500,Alternative,0.144
DRT,CLF_test,500,Alternative,0.06
DRT,CV_CLF_test,500,Alternative,0.158
DRT,CP_test,500,Alternative,0.624
DRT,debiased_test,500,Alternative,0.354
DRT,BlockMMD_test,500,Alternative,0.114
DRT,CV_BlockMMD_test,500,Alternative,0.1
DRT,bootstrap_MMD_test,500,Alternative,0.29
CIT,RCIT_test,500,Alternative,0.364
CIT,PCM_test,500,Alternative,0.094
CIT,GCM_test,500,Alternative,0.378
DRT,LinearMMD_test,1000,Null,0.09
DRT,CV_LinearMMD_test,1000,Null,0.138
DRT,CLF_test,1000,Null,0.012
DRT,CV_CLF_test,1000,Null,0.02
DRT,CP_test,1000,Null,0.074
DRT,debiased_test,1000,Null,0.026
DRT,BlockMMD_test,1000,Null,0.124
DRT,CV_BlockMMD_test,1000,Null,0.106
DRT,bootstrap_MMD_test,1000,Null,0.36
CIT,RCIT_test,1000,Null,0.05
CIT,PCM_test,1000,Null,0.09
CIT,GCM_test,1000,Null,0.022
DRT,LinearMMD_test,1000,Alternative,0.1
DRT,CV_LinearMMD_test,1000,Alternative,0.154
DRT,CLF_test,1000,Alternative,0.102
DRT,CV_CLF_test,1000,Alternative,0.29
DRT,CP_test,1000,Alternative,0.75
DRT,debiased_test,1000,Alternative,0.522
DRT,BlockMMD_test,1000,Alternative,0.142
DRT,CV_BlockMMD_test,1000,Alternative,0.12
DRT,bootstrap_MMD_test,1000,Alternative,0.44
CIT,RCIT_test,1000,Alternative,0.456
CIT,PCM_test,1000,Alternative,0.152
CIT,GCM_test,1000,Alternative,0.672
DRT,LinearMMD_test,2000,Null,0.068
DRT,CV_LinearMMD_test,2000,Null,0.098
DRT,CLF_test,2000,Null,0.006
DRT,CV_CLF_test,2000,Null,0.034
DRT,CP_test,2000,Null,0.092
DRT,debiased_test,2000,Null,0.028
DRT,BlockMMD_test,2000,Null,0.156
DRT,CV_BlockMMD_test,2000,Null,0.114
DRT,bootstrap_MMD_test,2000,Null,0.566
CIT,RCIT_test,2000,Null,0.058
CIT,PCM_test,2000,Null,0.078
CIT,GCM_test,2000,Null,0.02
DRT,LinearMMD_test,2000,Alternative,0.078
DRT,CV_LinearMMD_test,2000,Alternative,0.114
DRT,CLF_test,2000,Alternative,0.214
DRT,CV_CLF_test,2000,Alternative,0.556
DRT,CP_test,2000,Alternative,0.82
DRT,debiased_test,2000,Alternative,0.59
DRT,BlockMMD_test,2000,Alternative,0.176
DRT,CV_BlockMMD_test,2000,Alternative,0.154
DRT,bootstrap_MMD_test,2000,Alternative,0.65
CIT,RCIT_test,2000,Alternative,0.724
CIT,PCM_test,2000,Alternative,0.196
CIT,GCM_test,2000,Alternative,0.954
