"n","scenario","method","test_type","rejection_rate","se","mean_n1","mean_n2","n_valid","n_failed"
200,"alternative","GCM","Algorithm1",0.992,0.00398795782515695,200,200,500,0
200,"alternative","GCM","Oracle_CIT",0.664,0.0211447914250488,199.978,200.022,500,0
200,"alternative","PCM","Algorithm1",0.53,0.0223427481925028,200,200,500,0
200,"alternative","PCM","Oracle_CIT",0.538,0.0223183381198705,200.01,199.99,500,0
200,"alternative","RCIT","Algorithm1",0.988,0.00487437370726498,200,200,500,0
200,"alternative","RCIT","Oracle_CIT",0.586,0.0220494979698279,200.012,199.988,500,0
200,"alternative","WGSC","Algorithm1",0.708,0.0203543754805301,200,200,500,0
200,"alternative","WGSC","Oracle_CIT",0.07,0.0114219491262957,200.21,199.79,500,0
200,"null","GCM","Algorithm1",0.984,0.00561703678147196,200,200,500,0
200,"null","GCM","Oracle_CIT",0.264,0.0197328855859221,200.012,199.988,500,0
200,"null","PCM","Algorithm1",0.196,0.0177707512277449,200,200,500,0
200,"null","PCM","Oracle_CIT",0.164,0.0165758111424467,199.978,200.022,500,0
200,"null","RCIT","Algorithm1",0.978,0.00656644778194011,200,200,500,0
200,"null","RCIT","Oracle_CIT",0.294,0.0203950954849366,200.24,199.76,500,0
200,"null","WGSC","Algorithm1",0.512,0.0223766267979272,200,200,500,0
200,"null","WGSC","Oracle_CIT",0.064,0.010956646210971,200.01,199.99,500,0
500,"alternative","GCM","Algorithm1",0.994,0.00345715255775837,500,500,500,0
500,"alternative","GCM","Oracle_CIT",0.796,0.0180393691041386,500.63,499.37,500,0
500,"alternative","PCM","Algorithm1",0.604,0.0218935299416658,500,500,500,0
500,"alternative","PCM","Oracle_CIT",0.602,0.02191237788578,500.672,499.328,500,0
500,"alternative","RCIT","Algorithm1",0.996,0.00282559160811886,500,500,500,0
500,"alternative","RCIT","Oracle_CIT",0.828,0.0168938688763475,500.58,499.42,500,0
500,"alternative","WGSC","Algorithm1",0.954,0.00937784025112132,500,500,500,0
500,"alternative","WGSC","Oracle_CIT",0.06,0.0106313711300193,500.672,499.328,500,0
500,"null","GCM","Algorithm1",0.992,0.00398795782515694,500,500,500,0
500,"null","GCM","Oracle_CIT",0.202,0.0179732600312882,500.63,499.37,500,0
500,"null","PCM","Algorithm1",0.1,0.0134298444310754,500,500,500,0
500,"null","PCM","Oracle_CIT",0.08,0.0121447515404787,500.672,499.328,500,0
500,"null","RCIT","Algorithm1",0.996,0.00282559160811886,500,500,500,0
500,"null","RCIT","Oracle_CIT",0.558,0.0222319706963211,500.58,499.42,500,0
500,"null","WGSC","Algorithm1",0.858,0.0156256302478103,500,500,500,0
500,"null","WGSC","Oracle_CIT",0.036,0.00833949004366434,500.672,499.328,500,0
1000,"alternative","GCM","Algorithm1",1,0,1000,1000,500,0
1000,"alternative","GCM","Oracle_CIT",0.858,0.0156256302478103,1000.174,999.826,500,0
1000,"alternative","PCM","Algorithm1",0.7,0.020514426225628,1000,1000,500,0
1000,"alternative","PCM","Oracle_CIT",0.682,0.020847571620814,1000.402,999.598,500,0
1000,"alternative","RCIT","Algorithm1",0.998,0.002,1000,1000,500,0
1000,"alternative","RCIT","Oracle_CIT",0.932,0.0112696944068616,1000.206,999.794,500,0
1000,"alternative","WGSC","Algorithm1",0.998,0.002,1000,1000,500,0
1000,"alternative","WGSC","Oracle_CIT",0.07,0.0114219491262957,1000.236,999.764,500,0
1000,"null","GCM","Algorithm1",1,0,1000,1000,500,0
1000,"null","GCM","Oracle_CIT",0.186,0.017418806780584,1000.174,999.826,500,0
1000,"null","PCM","Algorithm1",0.0500000000000001,0.00975655578375503,1000,1000,500,0
1000,"null","PCM","Oracle_CIT",0.044,0.00918131761711648,1000.402,999.598,500,0
1000,"null","RCIT","Algorithm1",0.998,0.002,1000,1000,500,0
1000,"null","RCIT","Oracle_CIT",0.73,0.0198743548312875,1000.206,999.794,500,0
1000,"null","WGSC","Algorithm1",0.974,0.00712386826085354,1000,1000,500,0
1000,"null","WGSC","Oracle_CIT",0.026,0.00712386826085354,1000.236,999.764,500,0
2000,"alternative","GCM","Algorithm1",0.998,0.002,2000,2000,500,0
2000,"alternative","GCM","Oracle_CIT",0.932,0.0112696944068616,2001.49,1998.51,500,0
2000,"alternative","PCM","Algorithm1",0.858,0.0156256302478103,2000,2000,500,0
2000,"alternative","PCM","Oracle_CIT",0.896,0.0136653387431827,2001.538,1998.462,500,0
2000,"alternative","RCIT","Algorithm1",1,0,2000,2000,500,0
2000,"alternative","RCIT","Oracle_CIT",0.98,0.00626726073450186,2001.566,1998.434,500,0
2000,"alternative","WGSC","Algorithm1",1,0,2000,2000,500,0
2000,"alternative","WGSC","Oracle_CIT",0.044,0.00918131761711649,2001.156,1998.844,500,0
2000,"null","GCM","Algorithm1",0.998,0.002,2000,2000,500,0
2000,"null","GCM","Oracle_CIT",0.216,0.018421909061412,2001.49,1998.51,500,0
2000,"null","PCM","Algorithm1",0.024,0.00685141472745118,2000,2000,500,0
2000,"null","PCM","Oracle_CIT",0.028,0.00738519344122604,2001.538,1998.462,500,0
2000,"null","RCIT","Algorithm1",1,0,2000,2000,500,0
2000,"null","RCIT","Oracle_CIT",0.886,0.0142271861466456,2001.566,1998.434,500,0
2000,"null","WGSC","Algorithm1",1,0,2000,2000,500,0
2000,"null","WGSC","Oracle_CIT",0.012,0.00487437370726496,2001.156,1998.844,500,0
