"test_type","test_name","n","h_label","rejection_rate"
"DRT","LinearMMD_test",200,"Null",0.058
"DRT","CV_LinearMMD_test",200,"Null",0.074
"DRT","BlockMMD_test",200,"Null",0.06
"DRT","bootstrap_MMD_test",200,"Null",0.086
"DRT","CLF_test",200,"Null",0.05
"DRT","CV_CLF_test",200,"Null",0.09
"DRT","CP_test",200,"Null",0.052
"DRT","debiased_test",200,"Null",0.05
"CIT","RCIT_test",200,"Null",0.16
"CIT","PCM_test",200,"Null",0.058
"CIT","GCM_test",200,"Null",0.082
"DRT","LinearMMD_test",200,"Alternative",0.29
"DRT","CV_LinearMMD_test",200,"Alternative",0.424
"DRT","BlockMMD_test",200,"Alternative",0.516
"DRT","bootstrap_MMD_test",200,"Alternative",0.58
"DRT","CLF_test",200,"Alternative",0.226
"DRT","CV_CLF_test",200,"Alternative",0.294
"DRT","CP_test",200,"Alternative",0.294
"DRT","debiased_test",200,"Alternative",0.256
"CIT","RCIT_test",200,"Alternative",0.694
"CIT","PCM_test",200,"Alternative",0.74
"CIT","GCM_test",200,"Alternative",0.322
"DRT","LinearMMD_test",500,"Null",0.05
"DRT","CV_LinearMMD_test",500,"Null",0.058
"DRT","BlockMMD_test",500,"Null",0.056
"DRT","bootstrap_MMD_test",500,"Null",0.092
"DRT","CLF_test",500,"Null",0.062
"DRT","CV_CLF_test",500,"Null",0.076
"DRT","CP_test",500,"Null",0.046
"DRT","debiased_test",500,"Null",0.03
"CIT","RCIT_test",500,"Null",0.072
"CIT","PCM_test",500,"Null",0.048
"CIT","GCM_test",500,"Null",0.06
"DRT","LinearMMD_test",500,"Alternative",0.544
"DRT","CV_LinearMMD_test",500,"Alternative",0.596
"DRT","BlockMMD_test",500,"Alternative",0.624
"DRT","bootstrap_MMD_test",500,"Alternative",0.664
"DRT","CLF_test",500,"Alternative",0.258
"DRT","CV_CLF_test",500,"Alternative",0.312
"DRT","CP_test",500,"Alternative",0.31
"DRT","debiased_test",500,"Alternative",0.28
"CIT","RCIT_test",500,"Alternative",0.78
"CIT","PCM_test",500,"Alternative",0.802
"CIT","GCM_test",500,"Alternative",0.356
"DRT","LinearMMD_test",1000,"Null",0.058
"DRT","CV_LinearMMD_test",1000,"Null",0.064
"DRT","BlockMMD_test",1000,"Null",0.062
"DRT","bootstrap_MMD_test",1000,"Null",0.084
"DRT","CLF_test",1000,"Null",0.07
"DRT","CV_CLF_test",1000,"Null",0.066
"DRT","CP_test",1000,"Null",0.034
"DRT","debiased_test",1000,"Null",0.034
"CIT","RCIT_test",1000,"Null",0.056
"CIT","PCM_test",1000,"Null",0.042
"CIT","GCM_test",1000,"Null",0.052
"DRT","LinearMMD_test",1000,"Alternative",0.654
"DRT","CV_LinearMMD_test",1000,"Alternative",0.65
"DRT","BlockMMD_test",1000,"Alternative",0.718
"DRT","bootstrap_MMD_test",1000,"Alternative",0.798
"DRT","CLF_test",1000,"Alternative",0.342
"DRT","CV_CLF_test",1000,"Alternative",0.39
"DRT","CP_test",1000,"Alternative",0.488
"DRT","debiased_test",1000,"Alternative",0.432
"CIT","RCIT_test",1000,"Alternative",0.864
"CIT","PCM_test",1000,"Alternative",0.848
