scenario,test_type,test_name,n,h_label,rejection_rate
S4B,DRT,LinearMMD_test,200,Null,0.21
S4B,DRT,CV_LinearMMD_test,200,Null,0.246
S4B,DRT,CLF_test,200,Null,0.018
S4B,DRT,CV_CLF_test,200,Null,0.054
S4B,DRT,BlockMMD_test,200,Null,0.17
S4B,DRT,CV_BlockMMD_test,200,Null,0.032
S4B,DRT,bootstrap_MMD_test,200,Null,0.55
S4B,CIT,RCIT_test,200,Null,0.164
S4B,CIT,PCM_test,200,Null,0.012
S4B,CIT,GCM_test,200,Null,0.026
S4B,DRT,LinearMMD_test,200,Alternative,0.202
S4B,DRT,CV_LinearMMD_test,200,Alternative,0.256
S4B,DRT,CLF_test,200,Alternative,0.012
S4B,DRT,CV_CLF_test,200,Alternative,0.044
S4B,DRT,BlockMMD_test,200,Alternative,0.178
S4B,DRT,CV_BlockMMD_test,200,Alternative,0.032
S4B,DRT,bootstrap_MMD_test,200,Alternative,0.552
S4B,CIT,RCIT_test,200,Alternative,0.222
S4B,CIT,PCM_test,200,Alternative,0.01
S4B,CIT,GCM_test,200,Alternative,0.07
S4B,DRT,LinearMMD_test,500,Null,0.412
S4B,DRT,CV_LinearMMD_test,500,Null,0.626
S4B,DRT,CLF_test,500,Null,0.002
S4B,DRT,CV_CLF_test,500,Null,0.004
S4B,DRT,BlockMMD_test,500,Null,0.382
S4B,DRT,CV_BlockMMD_test,500,Null,0.18
S4B,DRT,bootstrap_MMD_test,500,Null,0.686
S4B,CIT,RCIT_test,500,Null,0.086
S4B,CIT,PCM_test,500,Null,0.016
S4B,CIT,GCM_test,500,Null,0.032
S4B,DRT,LinearMMD_test,500,Alternative,0.42
S4B,DRT,CV_LinearMMD_test,500,Alternative,0.636
S4B,DRT,CLF_test,500,Alternative,0.002
S4B,DRT,CV_CLF_test,500,Alternative,0.006
S4B,DRT,BlockMMD_test,500,Alternative,0.39
S4B,DRT,CV_BlockMMD_test,500,Alternative,0.18
S4B,DRT,bootstrap_MMD_test,500,Alternative,0.696
S4B,CIT,RCIT_test,500,Alternative,0.208
S4B,CIT,PCM_test,500,Alternative,0.024
S4B,CIT,GCM_test,500,Alternative,0.102
S4B,DRT,LinearMMD_test,1000,Null,0.42
S4B,DRT,CV_LinearMMD_test,1000,Null,0.656
S4B,DRT,CLF_test,1000,Null,0
S4B,DRT,CV_CLF_test,1000,Null,0
S4B,DRT,BlockMMD_test,1000,Null,0.45
S4B,DRT,CV_BlockMMD_test,1000,Null,0.298
S4B,DRT,bootstrap_MMD_test,1000,Null,0.686
S4B,CIT,RCIT_test,1000,Null,0.064
S4B,CIT,PCM_test,1000,Null,0.018
S4B,CIT,GCM_test,1000,Null,0.04
S4B,DRT,LinearMMD_test,1000,Alternative,0.43
S4B,DRT,CV_LinearMMD_test,1000,Alternative,0.652
S4B,DRT,CLF_test,1000,Alternative,0
S4B,DRT,CV_CLF_test,1000,Alternative,0.002
S4B,DRT,BlockMMD_test,1000,Alternative,0.46
S4B,DRT,CV_BlockMMD_test,1000,Alternative,0.328
S4B,DRT,bootstrap_MMD_test,1000,Alternative,0.688
S4B,CIT,RCIT_test,1000,Alternative,0.272
S4B,CIT,PCM_test,1000,Alternative,0.046
S4B,CIT,GCM_test,1000,Alternative,0.21
S4B,DRT,LinearMMD_test,2000,Null,0.446
S4B,DRT,CV_LinearMMD_test,2000,Null,0.65
S4B,DRT,CLF_test,2000,Null,0
S4B,DRT,CV_CLF_test,2000,Null,0
S4B,DRT,BlockMMD_test,2000,Null,0.482
S4B,DRT,CV_BlockMMD_test,2000,Null,0.438
S4B,DRT,bootstrap_MMD_test,2000,Null,0.744
S4B,CIT,RCIT_test,2000,Null,0.064
S4B,CIT,PCM_test,2000,Null,0.036
S4B,CIT,GCM_test,2000,Null,0.052
S4B,DRT,LinearMMD_test,2000,Alternative,0.47
S4B,DRT,CV_LinearMMD_test,2000,Alternative,0.65
S4B,DRT,CLF_test,2000,Alternative,0
S4B,DRT,CV_CLF_test,2000,Alternative,0
S4B,DRT,BlockMMD_test,2000,Alternative,0.486
S4B,DRT,CV_BlockMMD_test,2000,Alternative,0.444
S4B,DRT,bootstrap_MMD_test,2000,Alternative,0.74
S4B,CIT,RCIT_test,2000,Alternative,0.402
S4B,CIT,PCM_test,2000,Alternative,0.172
S4B,CIT,GCM_test,2000,Alternative,0.268
