test_name,n1,n2,imbalance_ratio,alg1,h_label,rejection_rate
RCIT_test,50,50,1,with_alg1,Null,1
RCIT_test,50,50,1,without_alg1,Null,1
PCM_test,50,50,1,with_alg1,Null,0.246
PCM_test,50,50,1,without_alg1,Null,0.256
GCM_test,50,50,1,with_alg1,Null,0.04
GCM_test,50,50,1,without_alg1,Null,0.03
RCIT_test,50,50,1,with_alg1,Alternative,1
RCIT_test,50,50,1,without_alg1,Alternative,1
PCM_test,50,50,1,with_alg1,Alternative,0.258
PCM_test,50,50,1,without_alg1,Alternative,0.272
GCM_test,50,50,1,with_alg1,Alternative,0.082
GCM_test,50,50,1,without_alg1,Alternative,0.058
RCIT_test,50,100,2,with_alg1,Null,0.902
RCIT_test,50,100,2,without_alg1,Null,0.492
PCM_test,50,100,2,with_alg1,Null,0.154
PCM_test,50,100,2,without_alg1,Null,0.122
GCM_test,50,100,2,with_alg1,Null,0.038
GCM_test,50,100,2,without_alg1,Null,0.046
RCIT_test,50,100,2,with_alg1,Alternative,0.916
RCIT_test,50,100,2,without_alg1,Alternative,0.526
PCM_test,50,100,2,with_alg1,Alternative,0.154
PCM_test,50,100,2,without_alg1,Alternative,0.154
GCM_test,50,100,2,with_alg1,Alternative,0.084
GCM_test,50,100,2,without_alg1,Alternative,0.086
RCIT_test,50,150,3,with_alg1,Null,0.51
RCIT_test,50,150,3,without_alg1,Null,0.338
PCM_test,50,150,3,with_alg1,Null,0.052
PCM_test,50,150,3,without_alg1,Null,0.074
GCM_test,50,150,3,with_alg1,Null,0.042
GCM_test,50,150,3,without_alg1,Null,0.034
RCIT_test,50,150,3,with_alg1,Alternative,0.542
RCIT_test,50,150,3,without_alg1,Alternative,0.386
PCM_test,50,150,3,with_alg1,Alternative,0.068
PCM_test,50,150,3,without_alg1,Alternative,0.078
GCM_test,50,150,3,with_alg1,Alternative,0.086
GCM_test,50,150,3,without_alg1,Alternative,0.102
RCIT_test,50,200,4,with_alg1,Null,0.362
RCIT_test,50,200,4,without_alg1,Null,0.262
PCM_test,50,200,4,with_alg1,Null,0.036
PCM_test,50,200,4,without_alg1,Null,0.02
GCM_test,50,200,4,with_alg1,Null,0.036
GCM_test,50,200,4,without_alg1,Null,0.04
RCIT_test,50,200,4,with_alg1,Alternative,0.388
RCIT_test,50,200,4,without_alg1,Alternative,0.334
PCM_test,50,200,4,with_alg1,Alternative,0.022
PCM_test,50,200,4,without_alg1,Alternative,0.024
GCM_test,50,200,4,with_alg1,Alternative,0.078
GCM_test,50,200,4,without_alg1,Alternative,0.12
