test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.044
DRT,CV_LinearMMD_test,200,Null,0.104
DRT,BlockMMD_test,200,Null,0.102
DRT,bootstrap_MMD_test,200,Null,0.15
DRT,CLF_test,200,Null,0.006
DRT,CV_CLF_test,200,Null,0.012
DRT,CP_test,200,Null,0.014
DRT,debiased_test,200,Null,0.018
CIT,RCIT_test,200,Null,0.18
CIT,PCM_test,200,Null,0.114
CIT,GCM_test,200,Null,0.062
DRT,LinearMMD_test,200,Alternative,0.06
DRT,CV_LinearMMD_test,200,Alternative,0.152
DRT,BlockMMD_test,200,Alternative,0.096
DRT,bootstrap_MMD_test,200,Alternative,0.112
DRT,CLF_test,200,Alternative,0.006
DRT,CV_CLF_test,200,Alternative,0.01
DRT,CP_test,200,Alternative,0.026
DRT,debiased_test,200,Alternative,0.02
CIT,RCIT_test,200,Alternative,0.78
CIT,PCM_test,200,Alternative,0.724
CIT,GCM_test,200,Alternative,0.064
DRT,LinearMMD_test,500,Null,0.062
DRT,CV_LinearMMD_test,500,Null,0.116
DRT,BlockMMD_test,500,Null,0.09
DRT,bootstrap_MMD_test,500,Null,0.108
DRT,CLF_test,500,Null,0.006
DRT,CV_CLF_test,500,Null,0.014
DRT,CP_test,500,Null,0.028
DRT,debiased_test,500,Null,0.054
CIT,RCIT_test,500,Null,0.08
CIT,PCM_test,500,Null,0.042
CIT,GCM_test,500,Null,0.054
DRT,LinearMMD_test,500,Alternative,0.068
DRT,CV_LinearMMD_test,500,Alternative,0.128
DRT,BlockMMD_test,500,Alternative,0.112
DRT,bootstrap_MMD_test,500,Alternative,0.12
DRT,CLF_test,500,Alternative,0.004
DRT,CV_CLF_test,500,Alternative,0.012
DRT,CP_test,500,Alternative,0.046
DRT,debiased_test,500,Alternative,0.054
CIT,RCIT_test,500,Alternative,0.914
CIT,PCM_test,500,Alternative,0.956
CIT,GCM_test,500,Alternative,0.07
DRT,LinearMMD_test,1000,Null,0.088
DRT,CV_LinearMMD_test,1000,Null,0.14
DRT,BlockMMD_test,1000,Null,0.06
DRT,bootstrap_MMD_test,1000,Null,0.076
DRT,CLF_test,1000,Null,0.004
DRT,CV_CLF_test,1000,Null,0.004
DRT,CP_test,1000,Null,0.026
DRT,debiased_test,1000,Null,0.042
CIT,RCIT_test,1000,Null,0.074
CIT,PCM_test,1000,Null,0.018
CIT,GCM_test,1000,Null,0.04
DRT,LinearMMD_test,1000,Alternative,0.072
DRT,CV_LinearMMD_test,1000,Alternative,0.14
DRT,BlockMMD_test,1000,Alternative,0.09
DRT,bootstrap_MMD_test,1000,Alternative,0.188
DRT,CLF_test,1000,Alternative,0.002
DRT,CV_CLF_test,1000,Alternative,0.01
DRT,CP_test,1000,Alternative,0.048
DRT,debiased_test,1000,Alternative,0.044
CIT,RCIT_test,1000,Alternative,0.964
CIT,PCM_test,1000,Alternative,0.996
CIT,GCM_test,1000,Alternative,0.062
DRT,LinearMMD_test,2000,Null,0.088
DRT,CV_LinearMMD_test,2000,Null,0.1
DRT,BlockMMD_test,2000,Null,0.042
DRT,bootstrap_MMD_test,2000,Null,0.056
DRT,CLF_test,2000,Null,0.004
DRT,CV_CLF_test,2000,Null,0.012
DRT,CP_test,2000,Null,0.038
DRT,debiased_test,2000,Null,0.048
CIT,RCIT_test,2000,Null,0.038
CIT,PCM_test,2000,Null,0.002
CIT,GCM_test,2000,Null,0.036
DRT,LinearMMD_test,2000,Alternative,0.08
DRT,CV_LinearMMD_test,2000,Alternative,0.116
DRT,BlockMMD_test,2000,Alternative,0.12
DRT,bootstrap_MMD_test,2000,Alternative,0.356
DRT,CLF_test,2000,Alternative,0.008
DRT,CV_CLF_test,2000,Alternative,0.006
DRT,CP_test,2000,Alternative,0.062
DRT,debiased_test,2000,Alternative,0.048
CIT,RCIT_test,2000,Alternative,0.992
CIT,PCM_test,2000,Alternative,1
CIT,GCM_test,2000,Alternative,0.046
