scenario,test_type,test_name,n,h_label,rejection_rate
S4B,DRT,LinearMMD_test,200,Null,0.064
S4B,DRT,CV_LinearMMD_test,200,Null,0.114
S4B,DRT,CLF_test,200,Null,0.002
S4B,DRT,CV_CLF_test,200,Null,0.012
S4B,DRT,CP_test,200,Null,0.036
S4B,DRT,debiased_test,200,Null,0.026
S4B,DRT,BlockMMD_test,200,Null,0.09
S4B,DRT,CV_BlockMMD_test,200,Null,0.05
S4B,DRT,bootstrap_MMD_test,200,Null,0.134
S4B,CIT,RCIT_test,200,Null,0.148
S4B,CIT,PCM_test,200,Null,0.112
S4B,CIT,GCM_test,200,Null,0.048
S4B,DRT,LinearMMD_test,200,Alternative,0.054
S4B,DRT,CV_LinearMMD_test,200,Alternative,0.12
S4B,DRT,CLF_test,200,Alternative,0.01
S4B,DRT,CV_CLF_test,200,Alternative,0.018
S4B,DRT,CP_test,200,Alternative,0.132
S4B,DRT,debiased_test,200,Alternative,0.096
S4B,DRT,BlockMMD_test,200,Alternative,0.1
S4B,DRT,CV_BlockMMD_test,200,Alternative,0.06
S4B,DRT,bootstrap_MMD_test,200,Alternative,0.132
S4B,CIT,RCIT_test,200,Alternative,0.198
S4B,CIT,PCM_test,200,Alternative,0.154
S4B,CIT,GCM_test,200,Alternative,0.13
S4B,DRT,LinearMMD_test,500,Null,0.068
S4B,DRT,CV_LinearMMD_test,500,Null,0.084
S4B,DRT,CLF_test,500,Null,0.006
S4B,DRT,CV_CLF_test,500,Null,0.012
S4B,DRT,CP_test,500,Null,0.028
S4B,DRT,debiased_test,500,Null,0.044
S4B,DRT,BlockMMD_test,500,Null,0.078
S4B,DRT,CV_BlockMMD_test,500,Null,0.038
S4B,DRT,bootstrap_MMD_test,500,Null,0.15
S4B,CIT,RCIT_test,500,Null,0.082
S4B,CIT,PCM_test,500,Null,0.032
S4B,CIT,GCM_test,500,Null,0.056
S4B,DRT,LinearMMD_test,500,Alternative,0.066
S4B,DRT,CV_LinearMMD_test,500,Alternative,0.09
S4B,DRT,CLF_test,500,Alternative,0.024
S4B,DRT,CV_CLF_test,500,Alternative,0.068
S4B,DRT,CP_test,500,Alternative,0.294
S4B,DRT,debiased_test,500,Alternative,0.334
S4B,DRT,BlockMMD_test,500,Alternative,0.082
S4B,DRT,CV_BlockMMD_test,500,Alternative,0.046
S4B,DRT,bootstrap_MMD_test,500,Alternative,0.152
S4B,CIT,RCIT_test,500,Alternative,0.21
S4B,CIT,PCM_test,500,Alternative,0.074
S4B,CIT,GCM_test,500,Alternative,0.266
S4B,DRT,LinearMMD_test,1000,Null,0.074
S4B,DRT,CV_LinearMMD_test,1000,Null,0.092
S4B,DRT,CLF_test,1000,Null,0.006
S4B,DRT,CV_CLF_test,1000,Null,0.012
S4B,DRT,CP_test,1000,Null,0.038
S4B,DRT,debiased_test,1000,Null,0.078
S4B,DRT,BlockMMD_test,1000,Null,0.044
S4B,DRT,CV_BlockMMD_test,1000,Null,0.016
S4B,DRT,bootstrap_MMD_test,1000,Null,0.092
S4B,CIT,RCIT_test,1000,Null,0.08
S4B,CIT,PCM_test,1000,Null,0.008
S4B,CIT,GCM_test,1000,Null,0.04
S4B,DRT,LinearMMD_test,1000,Alternative,0.09
S4B,DRT,CV_LinearMMD_test,1000,Alternative,0.088
S4B,DRT,CLF_test,1000,Alternative,0.052
S4B,DRT,CV_CLF_test,1000,Alternative,0.108
S4B,DRT,CP_test,1000,Alternative,0.562
S4B,DRT,debiased_test,1000,Alternative,0.574
S4B,DRT,BlockMMD_test,1000,Alternative,0.054
S4B,DRT,CV_BlockMMD_test,1000,Alternative,0.02
S4B,DRT,bootstrap_MMD_test,1000,Alternative,0.114
S4B,CIT,RCIT_test,1000,Alternative,0.408
S4B,CIT,PCM_test,1000,Alternative,0.076
S4B,CIT,GCM_test,1000,Alternative,0.458
S4B,DRT,LinearMMD_test,2000,Null,0.058
S4B,DRT,CV_LinearMMD_test,2000,Null,0.046
S4B,DRT,CLF_test,2000,Null,0.004
S4B,DRT,CV_CLF_test,2000,Null,0.008
S4B,DRT,CP_test,2000,Null,0.018
S4B,DRT,debiased_test,2000,Null,0.044
S4B,DRT,BlockMMD_test,2000,Null,0.042
S4B,DRT,CV_BlockMMD_test,2000,Null,0.006
S4B,DRT,bootstrap_MMD_test,2000,Null,0.096
S4B,CIT,RCIT_test,2000,Null,0.068
S4B,CIT,PCM_test,2000,Null,0.014
S4B,CIT,GCM_test,2000,Null,0.044
S4B,DRT,LinearMMD_test,2000,Alternative,0.05
S4B,DRT,CV_LinearMMD_test,2000,Alternative,0.06
S4B,DRT,CLF_test,2000,Alternative,0.104
S4B,DRT,CV_CLF_test,2000,Alternative,0.248
S4B,DRT,CP_test,2000,Alternative,0.764
S4B,DRT,debiased_test,2000,Alternative,0.782
S4B,DRT,BlockMMD_test,2000,Alternative,0.048
S4B,DRT,CV_BlockMMD_test,2000,Alternative,0.01
S4B,DRT,bootstrap_MMD_test,2000,Alternative,0.126
S4B,CIT,RCIT_test,2000,Alternative,0.608
S4B,CIT,PCM_test,2000,Alternative,0.154
S4B,CIT,GCM_test,2000,Alternative,0.73
