test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.096
DRT,CV_LinearMMD_test,200,Null,0.08
DRT,CLF_test,200,Null,0.012
DRT,CV_CLF_test,200,Null,0.016
DRT,CP_test,200,Null,0.022
DRT,debiased_test,200,Null,0.026
DRT,BlockMMD_test,200,Null,0.05
DRT,CV_BlockMMD_test,200,Null,0.008
DRT,bootstrap_MMD_test,200,Null,0.118
CIT,RCIT_test,200,Null,0.184
CIT,PCM_test,200,Null,0.086
CIT,GCM_test,200,Null,0.024
DRT,LinearMMD_test,200,Alternative,0.112
DRT,CV_LinearMMD_test,200,Alternative,0.08
DRT,CLF_test,200,Alternative,0.028
DRT,CV_CLF_test,200,Alternative,0.07
DRT,CP_test,200,Alternative,0.27
DRT,debiased_test,200,Alternative,0.156
DRT,BlockMMD_test,200,Alternative,0.056
DRT,CV_BlockMMD_test,200,Alternative,0.018
DRT,bootstrap_MMD_test,200,Alternative,0.162
CIT,RCIT_test,200,Alternative,0.394
CIT,PCM_test,200,Alternative,0.154
CIT,GCM_test,200,Alternative,0.4
DRT,LinearMMD_test,500,Null,0.034
DRT,CV_LinearMMD_test,500,Null,0.048
DRT,CLF_test,500,Null,0.008
DRT,CV_CLF_test,500,Null,0.012
DRT,CP_test,500,Null,0.034
DRT,debiased_test,500,Null,0.038
DRT,BlockMMD_test,500,Null,0.042
DRT,CV_BlockMMD_test,500,Null,0.014
DRT,bootstrap_MMD_test,500,Null,0.118
CIT,RCIT_test,500,Null,0.166
CIT,PCM_test,500,Null,0.124
CIT,GCM_test,500,Null,0.034
DRT,LinearMMD_test,500,Alternative,0.056
DRT,CV_LinearMMD_test,500,Alternative,0.046
DRT,CLF_test,500,Alternative,0.068
DRT,CV_CLF_test,500,Alternative,0.16
DRT,CP_test,500,Alternative,0.606
DRT,debiased_test,500,Alternative,0.496
DRT,BlockMMD_test,500,Alternative,0.05
DRT,CV_BlockMMD_test,500,Alternative,0.03
DRT,bootstrap_MMD_test,500,Alternative,0.18
CIT,RCIT_test,500,Alternative,0.63
CIT,PCM_test,500,Alternative,0.27
CIT,GCM_test,500,Alternative,0.806
DRT,LinearMMD_test,1000,Null,0.026
DRT,CV_LinearMMD_test,1000,Null,0.026
DRT,CLF_test,1000,Null,0.012
DRT,CV_CLF_test,1000,Null,0.016
DRT,CP_test,1000,Null,0.044
DRT,debiased_test,1000,Null,0.026
DRT,BlockMMD_test,1000,Null,0.034
DRT,CV_BlockMMD_test,1000,Null,0.024
DRT,bootstrap_MMD_test,1000,Null,0.146
CIT,RCIT_test,1000,Null,0.256
CIT,PCM_test,1000,Null,0.146
CIT,GCM_test,1000,Null,0.024
DRT,LinearMMD_test,1000,Alternative,0.032
DRT,CV_LinearMMD_test,1000,Alternative,0.042
DRT,CLF_test,1000,Alternative,0.138
DRT,CV_CLF_test,1000,Alternative,0.258
DRT,CP_test,1000,Alternative,0.792
DRT,debiased_test,1000,Alternative,0.678
DRT,BlockMMD_test,1000,Alternative,0.052
DRT,CV_BlockMMD_test,1000,Alternative,0.032
DRT,bootstrap_MMD_test,1000,Alternative,0.302
CIT,RCIT_test,1000,Alternative,0.818
CIT,PCM_test,1000,Alternative,0.412
CIT,GCM_test,1000,Alternative,0.98
DRT,LinearMMD_test,2000,Null,0.022
DRT,CV_LinearMMD_test,2000,Null,0.014
DRT,CLF_test,2000,Null,0.022
DRT,CV_CLF_test,2000,Null,0.01
DRT,CP_test,2000,Null,0.028
DRT,debiased_test,2000,Null,0.044
DRT,BlockMMD_test,2000,Null,0.036
DRT,CV_BlockMMD_test,2000,Null,0.014
DRT,bootstrap_MMD_test,2000,Null,0.124
CIT,RCIT_test,2000,Null,0.426
CIT,PCM_test,2000,Null,0.196
CIT,GCM_test,2000,Null,0.036
DRT,LinearMMD_test,2000,Alternative,0.026
DRT,CV_LinearMMD_test,2000,Alternative,0.022
DRT,CLF_test,2000,Alternative,0.288
DRT,CV_CLF_test,2000,Alternative,0.536
DRT,CP_test,2000,Alternative,0.958
DRT,debiased_test,2000,Alternative,0.868
DRT,BlockMMD_test,2000,Alternative,0.052
DRT,CV_BlockMMD_test,2000,Alternative,0.048
DRT,bootstrap_MMD_test,2000,Alternative,0.468
CIT,RCIT_test,2000,Alternative,0.946
CIT,PCM_test,2000,Alternative,0.616
CIT,GCM_test,2000,Alternative,1
