test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.078
DRT,CV_LinearMMD_test,200,Null,0.108
DRT,CLF_test,200,Null,0.002
DRT,CV_CLF_test,200,Null,0.008
DRT,CP_test,200,Null,0.016
DRT,debiased_test,200,Null,0.01
DRT,BlockMMD_test,200,Null,0.084
DRT,CV_BlockMMD_test,200,Null,0.06
DRT,bootstrap_MMD_test,200,Null,0.128
CIT,RCIT_test,200,Null,0.134
CIT,PCM_test,200,Null,0.112
CIT,GCM_test,200,Null,0.024
DRT,LinearMMD_test,200,Alternative,0.07
DRT,CV_LinearMMD_test,200,Alternative,0.116
DRT,CLF_test,200,Alternative,0.012
DRT,CV_CLF_test,200,Alternative,0.048
DRT,CP_test,200,Alternative,0.224
DRT,debiased_test,200,Alternative,0.138
DRT,BlockMMD_test,200,Alternative,0.088
DRT,CV_BlockMMD_test,200,Alternative,0.054
DRT,bootstrap_MMD_test,200,Alternative,0.144
CIT,RCIT_test,200,Alternative,0.25
CIT,PCM_test,200,Alternative,0.112
CIT,GCM_test,200,Alternative,0.188
DRT,LinearMMD_test,500,Null,0.096
DRT,CV_LinearMMD_test,500,Null,0.122
DRT,CLF_test,500,Null,0.006
DRT,CV_CLF_test,500,Null,0.006
DRT,CP_test,500,Null,0.036
DRT,debiased_test,500,Null,0.03
DRT,BlockMMD_test,500,Null,0.066
DRT,CV_BlockMMD_test,500,Null,0.042
DRT,bootstrap_MMD_test,500,Null,0.126
CIT,RCIT_test,500,Null,0.104
CIT,PCM_test,500,Null,0.09
CIT,GCM_test,500,Null,0.03
DRT,LinearMMD_test,500,Alternative,0.102
DRT,CV_LinearMMD_test,500,Alternative,0.13
DRT,CLF_test,500,Alternative,0.042
DRT,CV_CLF_test,500,Alternative,0.116
DRT,CP_test,500,Alternative,0.524
DRT,debiased_test,500,Alternative,0.416
DRT,BlockMMD_test,500,Alternative,0.066
DRT,CV_BlockMMD_test,500,Alternative,0.054
DRT,bootstrap_MMD_test,500,Alternative,0.152
CIT,RCIT_test,500,Alternative,0.344
CIT,PCM_test,500,Alternative,0.124
CIT,GCM_test,500,Alternative,0.438
DRT,LinearMMD_test,1000,Null,0.082
DRT,CV_LinearMMD_test,1000,Null,0.098
DRT,CLF_test,1000,Null,0.002
DRT,CV_CLF_test,1000,Null,0.008
DRT,CP_test,1000,Null,0.038
DRT,debiased_test,1000,Null,0.032
DRT,BlockMMD_test,1000,Null,0.058
DRT,CV_BlockMMD_test,1000,Null,0.03
DRT,bootstrap_MMD_test,1000,Null,0.156
CIT,RCIT_test,1000,Null,0.064
CIT,PCM_test,1000,Null,0.108
CIT,GCM_test,1000,Null,0.022
DRT,LinearMMD_test,1000,Alternative,0.09
DRT,CV_LinearMMD_test,1000,Alternative,0.102
DRT,CLF_test,1000,Alternative,0.076
DRT,CV_CLF_test,1000,Alternative,0.214
DRT,CP_test,1000,Alternative,0.722
DRT,debiased_test,1000,Alternative,0.606
DRT,BlockMMD_test,1000,Alternative,0.062
DRT,CV_BlockMMD_test,1000,Alternative,0.044
DRT,bootstrap_MMD_test,1000,Alternative,0.198
CIT,RCIT_test,1000,Alternative,0.504
CIT,PCM_test,1000,Alternative,0.182
CIT,GCM_test,1000,Alternative,0.752
DRT,LinearMMD_test,2000,Null,0.054
DRT,CV_LinearMMD_test,2000,Null,0.068
DRT,CLF_test,2000,Null,0.004
DRT,CV_CLF_test,2000,Null,0.008
DRT,CP_test,2000,Null,0.038
DRT,debiased_test,2000,Null,0.042
DRT,BlockMMD_test,2000,Null,0.052
DRT,CV_BlockMMD_test,2000,Null,0.028
DRT,bootstrap_MMD_test,2000,Null,0.168
CIT,RCIT_test,2000,Null,0.068
CIT,PCM_test,2000,Null,0.09
CIT,GCM_test,2000,Null,0.022
DRT,LinearMMD_test,2000,Alternative,0.062
DRT,CV_LinearMMD_test,2000,Alternative,0.08
DRT,CLF_test,2000,Alternative,0.144
DRT,CV_CLF_test,2000,Alternative,0.318
DRT,CP_test,2000,Alternative,0.88
DRT,debiased_test,2000,Alternative,0.76
DRT,BlockMMD_test,2000,Alternative,0.072
DRT,CV_BlockMMD_test,2000,Alternative,0.032
DRT,bootstrap_MMD_test,2000,Alternative,0.242
CIT,RCIT_test,2000,Alternative,0.782
CIT,PCM_test,2000,Alternative,0.216
CIT,GCM_test,2000,Alternative,0.974
