test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.058
DRT,CV_LinearMMD_test,200,Null,0.06
DRT,CLF_test,200,Null,0.054
DRT,CV_CLF_test,200,Null,0.082
DRT,CP_test,200,Null,0.06
DRT,debiased_test,200,Null,0.048
DRT,BlockMMD_test,200,Null,0.096
DRT,CV_BlockMMD_test,200,Null,0.114
DRT,bootstrap_MMD_test,200,Null,0.324
CIT,RCIT_test,200,Null,0.09
CIT,PCM_test,200,Null,0.064
CIT,GCM_test,200,Null,0.062
DRT,LinearMMD_test,200,Alternative,0.102
DRT,CV_LinearMMD_test,200,Alternative,0.112
DRT,CLF_test,200,Alternative,0.066
DRT,CV_CLF_test,200,Alternative,0.084
DRT,CP_test,200,Alternative,0.07
DRT,debiased_test,200,Alternative,0.046
DRT,BlockMMD_test,200,Alternative,0.212
DRT,CV_BlockMMD_test,200,Alternative,0.338
DRT,bootstrap_MMD_test,200,Alternative,0.796
CIT,RCIT_test,200,Alternative,0.628
CIT,PCM_test,200,Alternative,0.268
CIT,GCM_test,200,Alternative,0.062
DRT,LinearMMD_test,500,Null,0.066
DRT,CV_LinearMMD_test,500,Null,0.076
DRT,CLF_test,500,Null,0.082
DRT,CV_CLF_test,500,Null,0.084
DRT,CP_test,500,Null,0.062
DRT,debiased_test,500,Null,0.034
DRT,BlockMMD_test,500,Null,0.122
DRT,CV_BlockMMD_test,500,Null,0.204
DRT,bootstrap_MMD_test,500,Null,0.594
CIT,RCIT_test,500,Null,0.066
CIT,PCM_test,500,Null,0.048
CIT,GCM_test,500,Null,0.048
DRT,LinearMMD_test,500,Alternative,0.126
DRT,CV_LinearMMD_test,500,Alternative,0.164
DRT,CLF_test,500,Alternative,0.074
DRT,CV_CLF_test,500,Alternative,0.094
DRT,CP_test,500,Alternative,0.062
DRT,debiased_test,500,Alternative,0.02
DRT,BlockMMD_test,500,Alternative,0.516
DRT,CV_BlockMMD_test,500,Alternative,0.756
DRT,bootstrap_MMD_test,500,Alternative,0.998
CIT,RCIT_test,500,Alternative,0.922
CIT,PCM_test,500,Alternative,0.56
CIT,GCM_test,500,Alternative,0.048
DRT,LinearMMD_test,1000,Null,0.072
DRT,CV_LinearMMD_test,1000,Null,0.08
DRT,CLF_test,1000,Null,0.078
DRT,CV_CLF_test,1000,Null,0.084
DRT,CP_test,1000,Null,0.056
DRT,debiased_test,1000,Null,0.046
DRT,BlockMMD_test,1000,Null,0.162
DRT,CV_BlockMMD_test,1000,Null,0.296
DRT,bootstrap_MMD_test,1000,Null,0.934
CIT,RCIT_test,1000,Null,0.072
CIT,PCM_test,1000,Null,0.058
CIT,GCM_test,1000,Null,0.08
DRT,LinearMMD_test,1000,Alternative,0.152
DRT,CV_LinearMMD_test,1000,Alternative,0.252
DRT,CLF_test,1000,Alternative,0.066
DRT,CV_CLF_test,1000,Alternative,0.076
DRT,CP_test,1000,Alternative,0.068
DRT,debiased_test,1000,Alternative,0.046
DRT,BlockMMD_test,1000,Alternative,0.886
DRT,CV_BlockMMD_test,1000,Alternative,0.994
DRT,bootstrap_MMD_test,1000,Alternative,1
CIT,RCIT_test,1000,Alternative,0.984
CIT,PCM_test,1000,Alternative,0.938
CIT,GCM_test,1000,Alternative,0.06
DRT,LinearMMD_test,2000,Null,0.1
DRT,CV_LinearMMD_test,2000,Null,0.094
DRT,CLF_test,2000,Null,0.062
DRT,CV_CLF_test,2000,Null,0.07
DRT,CP_test,2000,Null,0.042
DRT,debiased_test,2000,Null,0.054
DRT,BlockMMD_test,2000,Null,0.32
DRT,CV_BlockMMD_test,2000,Null,0.566
DRT,bootstrap_MMD_test,2000,Null,1
CIT,RCIT_test,2000,Null,0.11
CIT,PCM_test,2000,Null,0.082
CIT,GCM_test,2000,Null,0.1
DRT,LinearMMD_test,2000,Alternative,0.264
DRT,CV_LinearMMD_test,2000,Alternative,0.41
DRT,CLF_test,2000,Alternative,0.048
DRT,CV_CLF_test,2000,Alternative,0.066
DRT,CP_test,2000,Alternative,0.06
DRT,debiased_test,2000,Alternative,0.044
DRT,BlockMMD_test,2000,Alternative,0.998
DRT,CV_BlockMMD_test,2000,Alternative,1
DRT,bootstrap_MMD_test,2000,Alternative,1
CIT,RCIT_test,2000,Alternative,0.992
CIT,PCM_test,2000,Alternative,1
CIT,GCM_test,2000,Alternative,0.086
