test_type,test_name,n,h_label,rejection_rate,separability_accuracy
DRT,LinearMMD_test,200,Null,0.07,0.705
DRT,CV_LinearMMD_test,200,Null,0.064,0.705
DRT,CLF_test,200,Null,0.074,0.705
DRT,CV_CLF_test,200,Null,0.07,0.705
DRT,CP_test,200,Null,0.054,0.705
DRT,debiased_test,200,Null,0.044,0.705
DRT,BlockMMD_test,200,Null,0.03,0.705
DRT,CV_BlockMMD_test,200,Null,0.086,0.705
DRT,bootstrap_MMD_test,200,Null,0.164,0.705
CIT,RCIT_test,200,Null,0.096,0.705
CIT,PCM_test,200,Null,0.078,0.705
CIT,GCM_test,200,Null,0.106,0.705
DRT,LinearMMD_test,200,Alternative,0.096,0.705
DRT,CV_LinearMMD_test,200,Alternative,0.1,0.705
DRT,CLF_test,200,Alternative,0.532,0.705
DRT,CV_CLF_test,200,Alternative,0.736,0.705
DRT,CP_test,200,Alternative,0.986,0.705
DRT,debiased_test,200,Alternative,0.988,0.705
DRT,BlockMMD_test,200,Alternative,0.14,0.705
DRT,CV_BlockMMD_test,200,Alternative,0.24,0.705
DRT,bootstrap_MMD_test,200,Alternative,0.622,0.705
CIT,RCIT_test,200,Alternative,0.884,0.705
CIT,PCM_test,200,Alternative,0.242,0.705
CIT,GCM_test,200,Alternative,0.984,0.705
DRT,LinearMMD_test,500,Null,0.05,0.705
DRT,CV_LinearMMD_test,500,Null,0.05,0.705
DRT,CLF_test,500,Null,0.066,0.705
DRT,CV_CLF_test,500,Null,0.076,0.705
DRT,CP_test,500,Null,0.034,0.705
DRT,debiased_test,500,Null,0.04,0.705
DRT,BlockMMD_test,500,Null,0.046,0.705
DRT,CV_BlockMMD_test,500,Null,0.068,0.705
DRT,bootstrap_MMD_test,500,Null,0.154,0.705
CIT,RCIT_test,500,Null,0.172,0.705
CIT,PCM_test,500,Null,0.074,0.705
CIT,GCM_test,500,Null,0.196,0.705
DRT,LinearMMD_test,500,Alternative,0.09,0.705
DRT,CV_LinearMMD_test,500,Alternative,0.15,0.705
DRT,CLF_test,500,Alternative,0.784,0.705
DRT,CV_CLF_test,500,Alternative,0.964,0.705
DRT,CP_test,500,Alternative,1,0.705
DRT,debiased_test,500,Alternative,1,0.705
DRT,BlockMMD_test,500,Alternative,0.244,0.705
DRT,CV_BlockMMD_test,500,Alternative,0.49,0.705
DRT,bootstrap_MMD_test,500,Alternative,0.962,0.705
CIT,RCIT_test,500,Alternative,0.986,0.705
CIT,PCM_test,500,Alternative,0.556,0.705
CIT,GCM_test,500,Alternative,1,0.705
DRT,LinearMMD_test,1000,Null,0.07,0.705
DRT,CV_LinearMMD_test,1000,Null,0.06,0.705
DRT,CLF_test,1000,Null,0.06,0.705
DRT,CV_CLF_test,1000,Null,0.066,0.705
DRT,CP_test,1000,Null,0.058,0.705
DRT,debiased_test,1000,Null,0.058,0.705
DRT,BlockMMD_test,1000,Null,0.042,0.705
DRT,CV_BlockMMD_test,1000,Null,0.064,0.705
DRT,bootstrap_MMD_test,1000,Null,0.186,0.705
CIT,RCIT_test,1000,Null,0.264,0.705
CIT,PCM_test,1000,Null,0.086,0.705
CIT,GCM_test,1000,Null,0.342,0.705
DRT,LinearMMD_test,1000,Alternative,0.128,0.705
DRT,CV_LinearMMD_test,1000,Alternative,0.146,0.705
DRT,CLF_test,1000,Alternative,0.96,0.705
DRT,CV_CLF_test,1000,Alternative,1,0.705
DRT,CP_test,1000,Alternative,1,0.705
DRT,debiased_test,1000,Alternative,1,0.705
DRT,BlockMMD_test,1000,Alternative,0.566,0.705
DRT,CV_BlockMMD_test,1000,Alternative,0.844,0.705
DRT,bootstrap_MMD_test,1000,Alternative,1,0.705
CIT,RCIT_test,1000,Alternative,0.996,0.705
CIT,PCM_test,1000,Alternative,0.84,0.705
CIT,GCM_test,1000,Alternative,1,0.705
DRT,LinearMMD_test,2000,Null,0.028,0.705
DRT,CV_LinearMMD_test,2000,Null,0.046,0.705
DRT,CLF_test,2000,Null,0.052,0.705
DRT,CV_CLF_test,2000,Null,0.026,0.705
DRT,CP_test,2000,Null,0.054,0.705
DRT,debiased_test,2000,Null,0.048,0.705
DRT,BlockMMD_test,2000,Null,0.052,0.705
DRT,CV_BlockMMD_test,2000,Null,0.07,0.705
DRT,bootstrap_MMD_test,2000,Null,0.166,0.705
CIT,RCIT_test,2000,Null,0.45,0.705
CIT,PCM_test,2000,Null,0.092,0.705
CIT,GCM_test,2000,Null,0.56,0.705
DRT,LinearMMD_test,2000,Alternative,0.132,0.705
DRT,CV_LinearMMD_test,2000,Alternative,0.2,0.705
DRT,CLF_test,2000,Alternative,0.998,0.705
DRT,CV_CLF_test,2000,Alternative,1,0.705
DRT,CP_test,2000,Alternative,1,0.705
DRT,debiased_test,2000,Alternative,1,0.705
DRT,BlockMMD_test,2000,Alternative,0.924,0.705
DRT,CV_BlockMMD_test,2000,Alternative,0.994,0.705
DRT,bootstrap_MMD_test,2000,Alternative,1,0.705
CIT,RCIT_test,2000,Alternative,0.998,0.705
CIT,PCM_test,2000,Alternative,0.994,0.705
CIT,GCM_test,2000,Alternative,1,0.705
