test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.05
DRT,CV_LinearMMD_test,200,Null,0.044
DRT,CLF_test,200,Null,0.066
DRT,CV_CLF_test,200,Null,0.106
DRT,CP_test,200,Null,0.06
DRT,debiased_test,200,Null,0.052
DRT,BlockMMD_test,200,Null,0.042
DRT,CV_BlockMMD_test,200,Null,0.074
CIT,RCIT_test,200,Null,0.144
CIT,PCM_test,200,Null,0.062
CIT,GCM_test,200,Null,0.042
CIT,WGSC_test,200,Null,0.004
DRT,LinearMMD_test,200,Alternative,0.06
DRT,CV_LinearMMD_test,200,Alternative,0.08
DRT,CLF_test,200,Alternative,0.184
DRT,CV_CLF_test,200,Alternative,0.326
DRT,CP_test,200,Alternative,0.562
DRT,debiased_test,200,Alternative,0.32
DRT,BlockMMD_test,200,Alternative,0.124
DRT,CV_BlockMMD_test,200,Alternative,0.208
CIT,RCIT_test,200,Alternative,0.51
CIT,PCM_test,200,Alternative,0.274
CIT,GCM_test,200,Alternative,0.32
CIT,WGSC_test,200,Alternative,0
DRT,LinearMMD_test,500,Null,0.04
DRT,CV_LinearMMD_test,500,Null,0.048
DRT,CLF_test,500,Null,0.074
DRT,CV_CLF_test,500,Null,0.072
DRT,CP_test,500,Null,0.046
DRT,debiased_test,500,Null,0.048
DRT,BlockMMD_test,500,Null,0.044
DRT,CV_BlockMMD_test,500,Null,0.052
CIT,RCIT_test,500,Null,0.086
CIT,PCM_test,500,Null,0.048
CIT,GCM_test,500,Null,0.042
CIT,WGSC_test,500,Null,0.002
DRT,LinearMMD_test,500,Alternative,0.076
DRT,CV_LinearMMD_test,500,Alternative,0.114
DRT,CLF_test,500,Alternative,0.424
DRT,CV_CLF_test,500,Alternative,0.626
DRT,CP_test,500,Alternative,0.936
DRT,debiased_test,500,Alternative,0.854
DRT,BlockMMD_test,500,Alternative,0.222
DRT,CV_BlockMMD_test,500,Alternative,0.372
CIT,RCIT_test,500,Alternative,0.78
CIT,PCM_test,500,Alternative,0.622
CIT,GCM_test,500,Alternative,0.578
CIT,WGSC_test,500,Alternative,0.016
DRT,LinearMMD_test,1000,Null,0.032
DRT,CV_LinearMMD_test,1000,Null,0.036
DRT,CLF_test,1000,Null,0.046
DRT,CV_CLF_test,1000,Null,0.05
DRT,CP_test,1000,Null,0.06
DRT,debiased_test,1000,Null,0.064
DRT,BlockMMD_test,1000,Null,0.04
DRT,CV_BlockMMD_test,1000,Null,0.05
CIT,RCIT_test,1000,Null,0.084
CIT,PCM_test,1000,Null,0.038
CIT,GCM_test,1000,Null,0.06
CIT,WGSC_test,1000,Null,0
DRT,LinearMMD_test,1000,Alternative,0.094
DRT,CV_LinearMMD_test,1000,Alternative,0.12
DRT,CLF_test,1000,Alternative,0.656
DRT,CV_CLF_test,1000,Alternative,0.866
DRT,CP_test,1000,Alternative,0.986
DRT,debiased_test,1000,Alternative,0.986
DRT,BlockMMD_test,1000,Alternative,0.448
DRT,CV_BlockMMD_test,1000,Alternative,0.736
CIT,RCIT_test,1000,Alternative,0.918
CIT,PCM_test,1000,Alternative,0.88
CIT,GCM_test,1000,Alternative,0.798
CIT,WGSC_test,1000,Alternative,0.008
DRT,LinearMMD_test,2000,Null,0.044
DRT,CV_LinearMMD_test,2000,Null,0.036
DRT,CLF_test,2000,Null,0.056
DRT,CV_CLF_test,2000,Null,0.058
DRT,CP_test,2000,Null,0.062
DRT,debiased_test,2000,Null,0.058
DRT,BlockMMD_test,2000,Null,0.046
DRT,CV_BlockMMD_test,2000,Null,0.058
CIT,RCIT_test,2000,Null,0.04
CIT,PCM_test,2000,Null,0.02
CIT,GCM_test,2000,Null,0.06
CIT,WGSC_test,2000,Null,0
DRT,LinearMMD_test,2000,Alternative,0.148
DRT,CV_LinearMMD_test,2000,Alternative,0.202
DRT,CLF_test,2000,Alternative,0.916
DRT,CV_CLF_test,2000,Alternative,0.992
DRT,CP_test,2000,Alternative,0.996
DRT,debiased_test,2000,Alternative,0.994
DRT,BlockMMD_test,2000,Alternative,0.816
DRT,CV_BlockMMD_test,2000,Alternative,0.984
CIT,RCIT_test,2000,Alternative,0.962
CIT,PCM_test,2000,Alternative,0.998
CIT,GCM_test,2000,Alternative,0.916
CIT,WGSC_test,2000,Alternative,0
