test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.066
DRT,CV_LinearMMD_test,200,Null,0.088
DRT,CLF_test,200,Null,0.002
DRT,CV_CLF_test,200,Null,0.012
DRT,CP_test,200,Null,0.01
DRT,debiased_test,200,Null,0.024
DRT,BlockMMD_test,200,Null,0.106
DRT,CV_BlockMMD_test,200,Null,0.034
CIT,RCIT_test,200,Null,0.17
CIT,PCM_test,200,Null,0.078
CIT,GCM_test,200,Null,0.028
CIT,WGSC_test,200,Null,0.076
DRT,LinearMMD_test,200,Alternative,0.224
DRT,CV_LinearMMD_test,200,Alternative,0.276
DRT,CLF_test,200,Alternative,0.068
DRT,CV_CLF_test,200,Alternative,0.15
DRT,CP_test,200,Alternative,0.166
DRT,debiased_test,200,Alternative,0.128
DRT,BlockMMD_test,200,Alternative,0.328
DRT,CV_BlockMMD_test,200,Alternative,0.266
CIT,RCIT_test,200,Alternative,0.686
CIT,PCM_test,200,Alternative,0.756
CIT,GCM_test,200,Alternative,0.208
CIT,WGSC_test,200,Alternative,0.636
DRT,LinearMMD_test,500,Null,0.088
DRT,CV_LinearMMD_test,500,Null,0.076
DRT,CLF_test,500,Null,0.002
DRT,CV_CLF_test,500,Null,0.014
DRT,CP_test,500,Null,0.01
DRT,debiased_test,500,Null,0.052
DRT,BlockMMD_test,500,Null,0.066
DRT,CV_BlockMMD_test,500,Null,0.036
CIT,RCIT_test,500,Null,0.076
CIT,PCM_test,500,Null,0.05
CIT,GCM_test,500,Null,0.032
CIT,WGSC_test,500,Null,0.062
DRT,LinearMMD_test,500,Alternative,0.332
DRT,CV_LinearMMD_test,500,Alternative,0.41
DRT,CLF_test,500,Alternative,0.168
DRT,CV_CLF_test,500,Alternative,0.226
DRT,CP_test,500,Alternative,0.25
DRT,debiased_test,500,Alternative,0.254
DRT,BlockMMD_test,500,Alternative,0.39
DRT,CV_BlockMMD_test,500,Alternative,0.352
CIT,RCIT_test,500,Alternative,0.742
CIT,PCM_test,500,Alternative,0.816
CIT,GCM_test,500,Alternative,0.252
CIT,WGSC_test,500,Alternative,0.716
DRT,LinearMMD_test,1000,Null,0.066
DRT,CV_LinearMMD_test,1000,Null,0.066
DRT,CLF_test,1000,Null,0.006
DRT,CV_CLF_test,1000,Null,0.008
DRT,CP_test,1000,Null,0.01
DRT,debiased_test,1000,Null,0.058
DRT,BlockMMD_test,1000,Null,0.04
DRT,CV_BlockMMD_test,1000,Null,0.012
CIT,RCIT_test,1000,Null,0.064
CIT,PCM_test,1000,Null,0.04
CIT,GCM_test,1000,Null,0.024
CIT,WGSC_test,1000,Null,0.052
DRT,LinearMMD_test,1000,Alternative,0.316
DRT,CV_LinearMMD_test,1000,Alternative,0.43
DRT,CLF_test,1000,Alternative,0.184
DRT,CV_CLF_test,1000,Alternative,0.196
DRT,CP_test,1000,Alternative,0.22
DRT,debiased_test,1000,Alternative,0.222
DRT,BlockMMD_test,1000,Alternative,0.39
DRT,CV_BlockMMD_test,1000,Alternative,0.402
CIT,RCIT_test,1000,Alternative,0.768
CIT,PCM_test,1000,Alternative,0.828
CIT,GCM_test,1000,Alternative,0.212
CIT,WGSC_test,1000,Alternative,0.748
DRT,LinearMMD_test,2000,Null,0.054
DRT,CV_LinearMMD_test,2000,Null,0.034
DRT,CLF_test,2000,Null,0.006
DRT,CV_CLF_test,2000,Null,0.002
DRT,CP_test,2000,Null,0.042
DRT,debiased_test,2000,Null,0.064
DRT,BlockMMD_test,2000,Null,0.022
DRT,CV_BlockMMD_test,2000,Null,0.014
CIT,RCIT_test,2000,Null,0.058
CIT,PCM_test,2000,Null,0.034
CIT,GCM_test,2000,Null,0.024
CIT,WGSC_test,2000,Null,0.016
DRT,LinearMMD_test,2000,Alternative,0.33
DRT,CV_LinearMMD_test,2000,Alternative,0.432
DRT,CLF_test,2000,Alternative,0.188
DRT,CV_CLF_test,2000,Alternative,0.196
DRT,CP_test,2000,Alternative,0.212
DRT,debiased_test,2000,Alternative,0.232
DRT,BlockMMD_test,2000,Alternative,0.458
DRT,CV_BlockMMD_test,2000,Alternative,0.492
CIT,RCIT_test,2000,Alternative,0.782
CIT,PCM_test,2000,Alternative,0.812
CIT,GCM_test,2000,Alternative,0.202
CIT,WGSC_test,2000,Alternative,0.786
